Source_Group,Water_m3,Scarce_m3,WSI_weight,Water_pct,Scarce_pct,Green_Water_m3
Agriculture,4082295574.6063848,3376058440.19948,0.827,70.86309226169664,71.1891504504798,13571964160.760221
Electricity,735332318.9395585,598560507.6168007,0.814,12.764367745479948,12.621527377331255,0.0
Petroleum,639230932.2146791,520333978.82274884,0.814,11.096178534408738,10.97200613053391,0.0
Manufacturing,303961714.684483,247424835.75316915,0.814,5.276361458414701,5.217316041655032,0.0
Mining,0.0,0.0,0.814,0.0,0.0,0.0
Services,0.0,0.0,0.0,0.0,0.0,0.0
