Category_ID,Category_Name,Category_Type,Total_Water_m3,Green_Water_m3,Scarce_m3,Demand_crore,Water_pct,Scarce_pct
FOOD_M07,Processed Tea/Coffee,Food Mfg,0.0,0.0,0.0,0.0,0.0,0.0
MIN_M01,Coal & Lignite,Mining,0.0,0.0,0.0,0.0,0.0,0.0
MIN_004,Copper Ore,Mining,0.0,0.0,0.0,0.0,0.0,0.0
MIN_003,Iron Ore,Mining,0.0,0.0,0.0,0.0,0.0,0.0
TEXT_M02,Leather (excl. Ftwr),Textiles,0.0,0.0,0.0,0.0,0.0,0.0
WOOD_M01,Wood & Furniture,Manufacturing,0.0,0.0,0.0,0.0,0.0,0.0
AGR_002,Wheat,Agriculture,0.0,0.0,0.0,0.0,0.0,0.0
MIN_002,Natural Gas,Mining,0.0,0.0,0.0,0.0,0.0,0.0
CHEM_M01,Rubber & Plastics,Manufacturing,0.0,0.0,0.0,0.0,0.0,0.0
CHEM_M02,Petroleum Products,Manufacturing,0.0,0.0,0.0,0.0,0.0,0.0
CHEM_M03,Fertilizers,Manufacturing,0.0,0.0,0.0,0.0,0.0,0.0
MIN_001,Crude Petroleum,Mining,0.0,0.0,0.0,0.0,0.0,0.0
METAL_M01,Cement & Non-Metallic,Manufacturing,0.0,0.0,0.0,0.0,0.0,0.0
METAL_M02,Iron & Steel,Manufacturing,0.0,0.0,0.0,0.0,0.0,0.0
METAL_M03,Non-Ferrous Metals,Manufacturing,0.0,0.0,0.0,0.0,0.0,0.0
MACH_M01,Machinery,Manufacturing,0.0,0.0,0.0,0.0,0.0,0.0
AGR_001,Paddy,Agriculture,0.0,0.0,0.0,0.0,0.0,0.0
