Product_ID,Product_Name,Water_2022_Blue_m3_per_crore,Water_2022_Green_m3_per_crore,Green_share_pct,Tourism_Demand_crore,Source_Group,Water_Multiplier_m3_per_crore,Total_Water_m3,Green_Water_m3,Water_pct,WSI_weight,Scarce_m3,Scarce_pct,Multiplier_Ratio
44,Processed fruits & Processed Vegetables,1009.8090697023492,4541.001129943503,81.8078977053336,136999.75863168403,Manufacturing,16325.851558063492,2236637722.9114013,7774673941.00336,41.53768010647391,0.814,1820623106.4498806,63.540277207576935,4.545480587150241
118,Repair & Maintenance of Motor Vehicle,0.0,0.0,0.0,194228.36801320128,Services,3112.047818556375,604447968.9772478,484215564.3680391,11.225495358140908,0.0,0.0,0.0,0.8664634059192176
120,Railway Transport,0.0,0.0,0.0,330771.42604213953,Services,1647.0638003127126,544801642.0118217,1219317133.944608,10.117774593335511,0.0,0.0,0.0,0.45857923572884535
52,Non alcoholic beverages,16.113331403471186,200.20677966101695,92.55116349368572,31559.146311643304,Manufacturing,8446.850641332601,266575395.26241365,779091763.0764698,4.95070049979015,0.814,216992371.7436047,7.5730970367632136,2.3517912971450023
61,Ready made garments,275.1865064661017,0.0657835028248587,0.02389934806075,113298.98978269128,Manufacturing,2032.1019740336924,230235100.7934301,440745171.47682446,4.275807328149096,0.814,187411372.0458521,6.540711523136759,0.5657824365993116
136,Public administration and defence,0.0,0.0,0.0,30024.544244088214,Services,7167.770601088873,215209045.54386765,547959265.8870462,3.996751194102459,0.0,0.0,0.0,1.9956669337902708
51,Alcoholic beverages,16.113331403471186,200.20677966101695,92.55116349368572,31559.146311643304,Manufacturing,5463.7005997397455,172429726.6301999,472789396.75800425,3.2022757875552945,0.814,140357797.4769827,4.898528052476926,1.5212159023859204
122,Air transport,0.0,0.0,0.0,85203.09072831436,Services,1809.6479898121881,154187601.86227956,133726506.00975004,2.863492472175133,0.0,0.0,0.0,0.5038462942047269
47,"Grain Mill products, starch and starch products",172.59913909321017,1090.525593220339,86.33554274746278,3234.176821737931,Manufacturing,45956.727690081134,148632183.49818215,427562840.1262484,2.7603201128333916,0.814,120986597.36752026,4.222467521091721,12.79537626697569
132,Research & Development Services,0.0,0.0,0.0,168214.64790537933,Services,804.6150305879845,135348034.06973383,217068557.05601424,2.5136137536438388,0.0,0.0,0.0,0.2240227401712822
49,Bread & Bakery products,172.59913909321017,1090.525593220339,86.33554274746278,3234.176821737931,Manufacturing,28960.12573670689,93662167.41227354,231216058.34766492,1.7394453774059573,0.814,76241004.27359065,2.6608332767863656,8.06314383476151
119,Hotels & Restaurant,0.0,0.0,0.0,25926.19133427426,Services,2514.082710264501,65180589.37650825,312411480.9822039,1.2105002267191396,0.0,0.0,0.0,0.6999766054073361
63,Leather footwear,40.42796320513673,0.0,0.0,30969.503371688857,Manufacturing,1942.0047722075642,60142923.34071801,173062968.32729188,1.1169432960931454,0.814,48956339.599344455,1.708590524963908,0.5406973694957247
