Category_ID,Category_Name,Source_ID,Source_Name,Source_Group,Water_m3,WSI_weight,Scarce_m3,Water_pct,Scarce_pct
FOOD_M06,Beverages,71,Petroleum products,Petroleum,21363273.07771513,0.814,17389704.285260115,0.3967476690745811,0.3922749465921795
TEXT_M01,Textiles,1,Paddy,Agriculture,18694205.681949668,0.827,15460108.098972375,0.3471791285227338,0.34874733804267194
CHEM_M04,Other Chemicals,2,Wheat,Agriculture,18434367.50478173,0.827,15245221.92645449,0.3423535481562353,0.34389996051024885
SERV_012,Health & Social Work,114,Electricity,Electricity,17876850.65496357,0.814,14551756.433140347,0.33199963329354076,0.32825684577460024
FOOD_M06,Beverages,9,Other oil seeds,Agriculture,17298443.234735955,0.827,14305812.555126633,0.3212577495514783,0.322708872098344
SERV_003,Road Transport,70,Plastic products,Manufacturing,17160301.58110547,0.814,13968485.487019852,0.31869225413883134,0.31509948694405787
SERV_M03,Support & Travel Agencies,71,Petroleum products,Petroleum,16687808.562915467,0.814,13583876.170213189,0.30991735794483727,0.30642351426883124
SERV_001,Hotels & Restaurants,70,Plastic products,Manufacturing,16632304.017050669,0.814,13538695.469879244,0.30888655619855093,0.305404333233906
TEXT_002,Leather Footwear,1,Paddy,Agriculture,16518993.475062642,0.827,13661207.603876805,0.306782211360951,0.3081679478435876
FOOD_M06,Beverages,114,Electricity,Electricity,16168009.674310325,0.814,13160759.874888603,0.3002639215687057,0.29687890560683006
CHEM_M04,Other Chemicals,114,Electricity,Electricity,16153857.624928584,0.814,13149240.106691867,0.30000109702003247,0.29661904400251515
FOOD_M06,Beverages,20,Other food crops,Agriculture,15449489.248695515,0.827,12776727.60867119,0.28691993148777933,0.28821594997234007
SERV_002,Railway Transport,1,Paddy,Agriculture,14736996.224203637,0.827,12187495.877416408,0.27368787918611565,0.27492412843720865
FOOD_M06,Beverages,8,Rapeseed and mustard,Agriculture,13171888.260536551,0.827,10893151.591463728,0.24462150278507994,0.2457264590970606
UTIL_M01,"Electricity, Heat & Energy",114,Electricity,Electricity,12307828.906436827,0.814,10018572.729839576,0.22857463892512414,0.2259978098568857
SERV_001,Hotels & Restaurants,20,Other food crops,Agriculture,11844285.254830247,0.827,9795223.905744614,0.2199659457431288,0.22095953280478303
WOOD_M02,Paper Products,66,"Paper, Paper products and newsprint",Manufacturing,10848041.168873353,0.814,8830305.511462908,0.20146421534372466,0.19919301479081633
SERV_018,Other Services,20,Other food crops,Agriculture,10529476.430960076,0.827,8707877.008403983,0.1955479956354118,0.19643128671821722
SERV_006,Real Estate,114,Electricity,Electricity,10520638.224430362,0.814,8563799.514686314,0.19538385703049357,0.193181203207531
SERV_001,Hotels & Restaurants,12,Sugarcane,Agriculture,10408146.069799807,0.827,8607536.79972444,0.19329471086003122,0.19416782384644318
SERV_012,Health & Social Work,2,Wheat,Agriculture,10289975.581901204,0.827,8509809.806232296,0.19110010961814178,0.19196330958191718
SERV_018,Other Services,12,Sugarcane,Agriculture,9778935.09569183,0.827,8087179.324137143,0.18160932976578806,0.18242965983879716
TEXT_001,Ready Made Garments,70,Plastic products,Manufacturing,9450763.33509217,0.814,7692921.354765026,0.17551469339614698,0.1735360339701802
SERV_005,Financial Services,1,Paddy,Agriculture,9272947.550551822,0.827,7668727.624306357,0.17221239052409118,0.1729902745847498
TEXT_001,Ready Made Garments,20,Other food crops,Agriculture,9130410.252615353,0.827,7550849.278912896,0.16956526147664788,0.17033118844475206
SERV_003,Road Transport,19,Vegetables,Agriculture,9040172.653862273,0.827,7476222.7847441,0.16788941541888638,0.16864777258360716
FOOD_M02,Processed Fruit/Veg,70,Plastic products,Manufacturing,8874870.52178975,0.814,7224144.604736856,0.16481950963458758,0.1629614220294341
SERV_003,Road Transport,66,"Paper, Paper products and newsprint",Manufacturing,8718516.155298773,0.814,7096872.150413201,0.16191577712930788,0.16009042466205586
SERV_002,Railway Transport,2,Wheat,Agriculture,8641024.156725124,0.827,7146126.977611677,0.1604766357723546,0.16120150938159686
CHEM_M04,Other Chemicals,20,Other food crops,Agriculture,8576202.300811967,0.827,7092519.302771497,0.15927279775815723,0.15999223362624734
SERV_006,Real Estate,71,Petroleum products,Petroleum,8487085.760222793,0.814,6908487.808821353,0.15761777141335861,0.15584087237959507
TEXT_001,Ready Made Garments,12,Sugarcane,Agriculture,8407063.264014676,0.827,6952641.319340137,0.15613163496186055,0.15683688218496564
FOOD_M06,Beverages,18,Fruits,Agriculture,8273822.565758994,0.827,6842451.261882688,0.15365715756008289,0.15435122755881145
SERV_003,Road Transport,69,Rubber products,Manufacturing,8222581.220508888,0.814,6693181.113494235,0.15270552977279253,0.1509840087420706
FOOD_M04,Grain Mill & Bakery,18,Fruits,Agriculture,8023315.750494697,0.827,6635282.125659114,0.14900487442529106,0.14967793004238766
SERV_004,Air Transport,2,Wheat,Agriculture,7859395.673593298,0.827,6499720.222061656,0.1459606354555146,0.1466199402329404
SERV_003,Road Transport,9,Other oil seeds,Agriculture,7717529.2104006,0.827,6382396.657001296,0.1433259648043085,0.1439733687638058
CHEM_M04,Other Chemicals,12,Sugarcane,Agriculture,7675421.576362459,0.827,6347573.643651754,0.14254396358220622,0.14318783523903797
SERV_006,Real Estate,1,Paddy,Agriculture,7412506.259789261,0.827,6130142.676845718,0.1376612361726487,0.13828305253013248
TEXT_002,Leather Footwear,71,Petroleum products,Petroleum,7328447.854630076,0.814,5965356.553668882,0.13610014690548852,0.13456582614100307
TEXT_M01,Textiles,2,Wheat,Agriculture,7277727.7845220715,0.827,6018680.877799753,0.13515819997079143,0.13576871010368388
WOOD_M03,Printing/Publishing,67,"Publishing, printing and allied activities",Manufacturing,7192419.384106878,0.814,5854629.378662999,0.13357389643761633,0.1320680552790481
SERV_012,Health & Social Work,12,Sugarcane,Agriculture,7184677.6387910545,0.827,5941728.407280202,0.13343012074381472,0.13403282513588832
TEXT_M01,Textiles,71,Petroleum products,Petroleum,7159382.3500223495,0.814,5827737.232918192,0.13296034971102194,0.1314614253523544
SERV_004,Air Transport,114,Electricity,Electricity,7127880.972995181,0.814,5802095.112018077,0.1323753224138141,0.13088299334214884
SERV_M03,Support & Travel Agencies,1,Paddy,Agriculture,6766851.936271594,0.827,5596186.551296608,0.12567047768954095,0.1262381317427281
SERV_012,Health & Social Work,70,Plastic products,Manufacturing,6149779.192017281,0.814,5005920.262302067,0.11421052152824762,0.11292297277324746
SERV_012,Health & Social Work,20,Other food crops,Agriculture,6014822.683425099,0.827,4974258.359192557,0.11170417898346943,0.11220874720922694
TEXT_002,Leather Footwear,2,Wheat,Agriculture,5902517.738017735,0.827,4881382.169340666,0.10961850956596812,0.11011365681457792
SERV_005,Financial Services,66,"Paper, Paper products and newsprint",Manufacturing,5799531.80922691,0.814,4720818.892710704,0.10770590810988025,0.10649168891153132
SERV_001,Hotels & Restaurants,66,"Paper, Paper products and newsprint",Manufacturing,5718968.086003658,0.814,4655240.022006977,0.10620972026991218,0.10501236829854742
TEXT_002,Leather Footwear,114,Electricity,Electricity,5500428.037958932,0.814,4477348.42289857,0.10215110741851172,0.1009995100926378
CHEM_M04,Other Chemicals,70,Plastic products,Manufacturing,5450555.835686998,0.814,4436752.4502492165,0.10122490664716802,0.10008375081682418
FOOD_M04,Grain Mill & Bakery,20,Other food crops,Agriculture,5365442.873616758,0.827,4437221.256481059,0.09964423269395126,0.10009432609381229
