Category_ID,Category_Name,Source_ID,Source_Name,Source_Group,Water_m3,WSI_weight,Scarce_m3,Water_pct,Scarce_pct
FOOD_M02,Processed Fruit/Veg,12,Sugarcane,Agriculture,1401464889.801814,0.827,1159011463.8661,27.194889511230002,27.27584004975216
FOOD_M02,Processed Fruit/Veg,1,Paddy,Agriculture,343162398.37995076,0.827,283795303.46021926,6.658934930343608,6.678756462193287
FOOD_M02,Processed Fruit/Veg,2,Wheat,Agriculture,224013573.797115,0.827,185259225.5302141,4.346897616029328,4.359836947986275
FOOD_M02,Processed Fruit/Veg,20,Other food crops,Agriculture,135474032.15506926,0.827,112037024.59224227,2.628821715697012,2.636646882020139
FOOD_M06,Beverages,12,Sugarcane,Agriculture,129693735.00117058,0.827,107256718.84596807,2.5166572629260395,2.5241485513398225
SERV_002,Railway Transport,2,Wheat,Agriculture,116621249.10434844,0.827,96445773.00929615,2.2629906800611175,2.2697268837197475
SERV_003,Road Transport,71,Petroleum products,Petroleum,106258167.68314263,0.814,86494148.4940781,2.061899053509256,2.0355282351517303
SERV_001,Hotels & Restaurants,71,Petroleum products,Petroleum,105922954.28464502,0.814,86221284.78770104,2.0553943658776483,2.0291067397286415
SERV_003,Road Transport,114,Electricity,Electricity,101578101.87766038,0.814,82684574.92841554,1.9710841687329603,1.9458748344095433
SERV_002,Railway Transport,1,Paddy,Agriculture,97995817.19813909,0.827,81042540.82286102,1.9015713063228792,1.907231679431641
SERV_001,Hotels & Restaurants,2,Wheat,Agriculture,75647174.38060805,0.827,62560213.212762855,1.4679044506126036,1.4722739353912453
FOOD_M06,Beverages,1,Paddy,Agriculture,72562805.30796008,0.827,60009439.98968298,1.4080534498826616,1.4122447772638196
FOOD_M04,Grain Mill & Bakery,1,Paddy,Agriculture,72448206.47942053,0.827,59914666.75848077,1.405829703499197,1.4100144114944881
SERV_018,Other Services,2,Wheat,Agriculture,71765190.37995715,0.827,59349812.444224566,1.39257603764252,1.396721293689016
SERV_001,Hotels & Restaurants,1,Paddy,Agriculture,69250694.20410441,0.827,57270324.10679434,1.3437832022484089,1.347783217539301
SERV_001,Hotels & Restaurants,114,Electricity,Electricity,67570437.62057804,0.814,55002336.223150514,1.3111784666806285,1.2944090476732886
FOOD_M04,Grain Mill & Bakery,12,Sugarcane,Agriculture,57126952.20970896,0.827,47243989.47742931,1.1085266314991638,1.1118263627868734
FOOD_M02,Processed Fruit/Veg,9,Other oil seeds,Agriculture,56503084.90447687,0.827,46728051.216002375,1.096420725344173,1.0996844211987498
SERV_004,Air Transport,71,Petroleum products,Petroleum,51358035.32358051,0.814,41805440.75339454,0.9965830084663259,0.983837132546875
SERV_003,Road Transport,1,Paddy,Agriculture,51153901.181487486,0.827,42304276.27709015,0.9926218636099073,0.9955765832595279
TEXT_001,Ready Made Garments,1,Paddy,Agriculture,50860051.97493108,0.827,42061262.98326801,0.9869198322829621,0.9898575787984798
SERV_003,Road Transport,2,Wheat,Agriculture,48670862.81515343,0.827,40250803.54813188,0.9444394549630886,0.9472507509034258
FOOD_M02,Processed Fruit/Veg,15,Tea,Agriculture,44092585.34506094,0.827,36464568.08036539,0.8555997338563218,0.8581465821965765
FOOD_M02,Processed Fruit/Veg,18,Fruits,Agriculture,43516024.50757858,0.827,35987752.26776748,0.8444117915925293,0.8469253369862567
TEXT_001,Ready Made Garments,2,Wheat,Agriculture,43268076.15680739,0.827,35782698.981679715,0.8396004487948745,0.8420996723510257
FOOD_M06,Beverages,2,Wheat,Agriculture,42725698.0955396,0.827,35334152.325011246,0.8290758102136121,0.8315437052673784
FOOD_M02,Processed Fruit/Veg,8,Rapeseed and mustard,Agriculture,37261952.13478409,0.827,30815634.41546644,0.7230539121258281,0.7252062137023052
SERV_018,Other Services,1,Paddy,Agriculture,35082899.371363275,0.827,29013557.780117426,0.6807702276956391,0.6827966641891229
FOOD_M04,Grain Mill & Bakery,2,Wheat,Agriculture,34879843.75448747,0.827,28845630.784961134,0.6768300112080516,0.6788447189299794
SERV_012,Health & Social Work,71,Petroleum products,Petroleum,32015053.32116584,0.814,26060253.403428994,0.6212398498890424,0.6132944544973532
SERV_002,Railway Transport,12,Sugarcane,Agriculture,31835007.062301654,0.827,26327550.840523466,0.6177461211824928,0.6195849549515746
FOOD_M02,Processed Fruit/Veg,114,Electricity,Electricity,30911564.52579906,0.814,25162013.524000432,0.5998270723836967,0.5921555373757943
SERV_012,Health & Social Work,114,Electricity,Electricity,30731844.99330182,0.814,25015721.82454768,0.5963396836771816,0.5887127508984548
TEXT_001,Ready Made Garments,20,Other food crops,Agriculture,30438904.743811112,0.827,25172974.223131787,0.5906552903140211,0.5924134832940711
FOOD_M02,Processed Fruit/Veg,71,Petroleum products,Petroleum,26408621.71970787,0.814,21496618.079842202,0.5124491915833044,0.5058951827797672
SERV_003,Road Transport,20,Other food crops,Agriculture,26051398.670499157,0.827,21544506.7005028,0.5055174151079983,0.507022179706083
SERV_001,Hotels & Restaurants,12,Sugarcane,Agriculture,25949426.750865076,0.827,21460175.922965415,0.5035386890565102,0.5050375636163437
FOOD_M06,Beverages,20,Other food crops,Agriculture,24920510.245863684,0.827,20609261.973329265,0.48357295828907676,0.4850124012172081
FOOD_M02,Processed Fruit/Veg,19,Vegetables,Agriculture,24884417.776690412,0.827,20579413.50132297,0.4828725977459785,0.484309955923477
SERV_004,Air Transport,114,Electricity,Electricity,24788339.90614752,0.814,20177708.68360408,0.4810082434600445,0.4748563511085887
SERV_001,Hotels & Restaurants,20,Other food crops,Agriculture,23825840.840067755,0.827,19703970.374736033,0.46233131766106644,0.46370753097956036
SERV_005,Financial Services,71,Petroleum products,Petroleum,22049083.94890486,0.814,17947954.334408555,0.4278540305773178,0.42238195816684404
SERV_002,Railway Transport,20,Other food crops,Agriculture,21275926.20732271,0.827,17595190.97345588,0.4128512006740641,0.4140801274181969
CHEM_M04,Other Chemicals,1,Paddy,Agriculture,21258835.03675121,0.827,17581056.575393252,0.4125195530539976,0.4137474925886243
SERV_012,Health & Social Work,2,Wheat,Agriculture,20979409.2306167,0.827,17349971.43372001,0.4070974022889585,0.4083092018049174
SERV_012,Health & Social Work,1,Paddy,Agriculture,20752394.80015075,0.827,17162230.499724668,0.402692274198415,0.4038909610488107
CHEM_M04,Other Chemicals,71,Petroleum products,Petroleum,20237950.094849426,0.814,16473691.377207432,0.39270967169291443,0.3876870807945715
SERV_003,Road Transport,12,Sugarcane,Agriculture,20137566.682093862,0.827,16653767.646091623,0.3907617700091029,0.39192494354224217
TEXT_001,Ready Made Garments,114,Electricity,Electricity,20061428.274790645,0.814,16330002.615679584,0.3892843333717392,0.3843055511043411
CHEM_M04,Other Chemicals,114,Electricity,Electricity,19371774.24604801,0.814,15768624.23628308,0.3759018610393194,0.3710942349429532
