Component,Scenario,Total_TWF_m3,Delta_pct,Scarce_m3_est
Agriculture,LOW,4944361426,-14.17,4088986899
Agriculture,BASE,5760820540,0.0,4764198587
Agriculture,HIGH,6577279655,14.17,5439410275
Electricity,LOW,5613754077,-2.55,4569595818
Electricity,BASE,5760820540,0.0,4689307920
Electricity,HIGH,5907887004,2.55,4809020021
Petroleum,LOW,5632974354,-2.22,4585241124
Petroleum,BASE,5760820540,0.0,4689307920
Petroleum,HIGH,5888666727,2.22,4793374716
