Component,Scenario,Total_TWF_m3,Delta_pct,Scarce_m3_est
Agriculture,LOW,4317323819,-16.22,3570426798
Agriculture,BASE,5153412700,0.0,4261872303
Agriculture,HIGH,5989501581,16.22,4953317808
Electricity,LOW,5080408755,-1.42,4135452727
Electricity,BASE,5153412700,0.0,4194877938
Electricity,HIGH,5226416644,1.42,4254303149
Petroleum,LOW,5066713509,-1.68,4124304796
Petroleum,BASE,5153412700,0.0,4194877938
Petroleum,HIGH,5240111891,1.68,4265451080
