Source_Group,Water_m3,Scarce_m3,WSI_weight,Green_Water_m3,Water_pct,Scarce_pct
Agriculture,4082295574.606385,3376058440.1994805,0.827,13571964160.760221,70.86309226169662,71.1891504504798
Electricity,735332318.9395586,598560507.6168007,0.814,0.0,12.764367745479946,12.621527377331251
Petroleum,639230932.2146791,520333978.8227488,0.814,0.0,11.096178534408736,10.972006130533906
Manufacturing,303961714.68448305,247424835.75316918,0.814,0.0,5.276361458414701,5.217316041655032
Mining,0.0,0.0,0.814,0.0,0.0,0.0
Services,0.0,0.0,0.0,0.0,0.0,0.0
