Source_Group,Water_m3,Scarce_m3,WSI_weight,Green_Water_m3,Water_pct,Scarce_pct
Agriculture,3844287337.4522924,3179225628.0730457,0.827,13317734591.232956,71.39411806602489,71.71660558448582
Petroleum,909322980.7596127,740188906.3383247,0.814,1550.9720806852395,16.887476546309834,16.697096105774694
Manufacturing,395441893.5743903,321889701.3695537,0.814,680778357.1212186,7.3439425203873245,7.261150813262698
Electricity,235547306.47810346,191735507.4731762,0.814,1763428.4718622642,4.374462867277948,4.325147496476799
Mining,0.0,0.0,0.814,0.0,0.0,0.0
Services,0.0,0.0,0.0,0.0,0.0,0.0
