Source_Group,Water_m3,Scarce_m3,WSI_weight,Water_pct,Scarce_pct
Manufacturing,3336108012.759866,2715591922.386531,0.814,61.956474226985456,94.77494980691488
Services,1864568096.9273033,0.0,0.0,34.627795263189846,0.0
Petroleum,164793021.15817738,134141519.22275637,0.814,3.0604508394580576,4.681578129083294
Electricity,19130387.419053033,15572135.359109167,0.814,0.35527967036663227,0.5434720640018118
Agriculture,0.0,0.0,0.827,0.0,0.0
Mining,0.0,0.0,0.814,0.0,0.0
