Category_Name,Category_Type,Demand_crore,Total_Water_m3,Green_Water_m3,Agr_pct_of_indirect,Elec_pct_of_indirect,Petro_pct_of_indirect,Direct_m3
Processed Fruit/Veg,Food Mfg,136999.75863168403,2236637722.9114013,7774673941.00336,87.7,1.4,3.6,0.0
Hotels & Restaurants,Services,194228.36801320128,604447968.9772478,484215564.3680391,23.2,4.5,66.9,0.0
Road Transport,Services,330771.42604213953,544801642.0118217,1219317133.944608,65.4,7.9,19.5,0.0
Beverages,Food Mfg,63118.29262328661,439005121.89261353,1251881159.834474,89.3,3.7,5.0,0.0
Grain Mill & Bakery,Food Mfg,6468.353643475862,242294350.9104557,658778898.4739133,97.3,0.5,1.4,0.0
Ready Made Garments,Textiles,113298.98978269128,230235100.7934301,440745171.47682446,54.9,10.9,13.7,0.0
Other Services,Services,60049.08848817643,221515893.08951437,556561371.3823272,95.9,1.1,1.8,0.0
Other Chemicals,Manufacturing,72304.70444689656,189736851.47938284,378025780.3141408,56.9,8.5,29.4,0.0
Air Transport,Services,85203.09072831436,154187601.86227956,133726506.00975004,25.9,4.6,66.0,0.0
Health & Social Work,Services,168214.64790537933,135348034.06973383,217068557.05601424,45.9,13.2,16.6,0.0
Railway Transport,Services,25926.19133427426,65180589.37650825,312411480.9822039,89.0,2.2,5.1,0.0
Leather Footwear,Textiles,30969.503371688857,60142923.34071801,173062968.32729188,68.6,9.1,12.6,0.0
Financial Services,Services,69667.42320877626,54796691.63067004,70069203.68148735,34.0,9.7,39.8,0.0
Textiles,Textiles,10466.762722542104,48414438.93283689,120521203.6645565,71.4,7.8,15.1,0.0
Real Estate,Services,67932.41032196632,38609051.956661314,60819632.60017845,40.8,27.2,22.6,0.0
Support & Travel Agencies,Services,12885.512034890136,31856673.416041106,38173749.11263108,36.7,6.1,52.8,0.0
Printing/Publishing,Wood & Paper,10022.883072870893,26203508.097313065,24270830.26134803,27.6,12.9,11.6,0.0
"Electricity, Heat & Energy",Utilities,3488.9209075140348,19130387.419053033,12596025.553459477,19.6,64.3,13.9,0.0
Paper Products,Wood & Paper,5518.948412742584,19094896.417938624,14920533.512992106,23.9,9.6,6.9,0.0
Tobacco Products,Food Mfg,4622.043398065117,9136119.141953353,36589072.69485111,77.8,7.1,8.3,0.0
Public Admin & Education,Services,7751.561982048116,6634184.659370635,10762125.701734493,46.8,11.9,19.2,0.0
Cultural & Rec Services,Services,14706.99753596632,4537954.862668048,6269776.95511354,38.7,12.8,25.2,0.0
