Category_ID,Category_Name,Source_ID,Source_Name,Source_Group,Water_m3,WSI_weight,Scarce_m3,Water_pct,Scarce_pct
FOOD_M02,Processed Fruit/Veg,1,Paddy,Agriculture,572096842.0395428,0.827,473124088.36670184,9.930822146307307,9.97651625559335
FOOD_M02,Processed Fruit/Veg,9,Other oil seeds,Agriculture,289150978.83766407,0.827,239127859.49874818,5.019267252080083,5.042362111999379
FOOD_M02,Processed Fruit/Veg,2,Wheat,Agriculture,279294107.6133785,0.827,230976226.99626404,4.84816538985259,4.870472968812013
FOOD_M06,Beverages,1,Paddy,Agriculture,249274941.0694117,0.827,206150376.26440346,4.327073536127749,4.346983445713843
SERV_001,Hotels & Restaurants,71,Petroleum products,Petroleum,234651612.78722632,0.814,191006412.80880222,4.073232469919922,4.027650735112523
SERV_003,Road Transport,114,Electricity,Electricity,232953267.96035072,0.814,189623960.11972547,4.043751516382973,3.9984996898280283
FOOD_M02,Processed Fruit/Veg,8,Rapeseed and mustard,Agriculture,176749866.85833585,0.827,146172139.89184374,3.0681370061334943,3.0822542449277615
FOOD_M04,Grain Mill & Bakery,1,Paddy,Agriculture,132642272.94042934,0.827,109695159.72173506,2.302489237586645,2.313083546225164
SERV_001,Hotels & Restaurants,114,Electricity,Electricity,121771675.97801694,0.814,99122144.24610579,2.1137904769484166,2.0901359868916387
FOOD_M02,Processed Fruit/Veg,20,Other food crops,Agriculture,114789225.251457,0.827,94930689.28295495,1.9925846404267247,2.001753003224885
SERV_003,Road Transport,1,Paddy,Agriculture,112661889.92093363,0.827,93171382.96461211,1.9556569959082406,1.9646554457022767
SERV_003,Road Transport,2,Wheat,Agriculture,102957741.24107213,0.827,85146052.00636666,1.78720618908773,1.7954295560675961
SERV_003,Road Transport,71,Petroleum products,Petroleum,96290036.80414362,0.814,78380089.95857291,1.6714639195600396,1.652759309478451
FOOD_M06,Beverages,2,Wheat,Agriculture,96142607.8219974,0.827,79509936.66879185,1.6689047531858894,1.6765837867096576
SERV_004,Air Transport,71,Petroleum products,Petroleum,95522159.78602785,0.814,77755038.06582667,1.6581346201533889,1.6395791723391662
SERV_001,Hotels & Restaurants,1,Paddy,Agriculture,94184807.88279925,0.827,77890836.11907499,1.6349200122023264,1.6424426737313413
TEXT_001,Ready Made Garments,1,Paddy,Agriculture,80393600.28973356,0.827,66485507.43960965,1.3955234280483595,1.4019445681204517
SERV_002,Railway Transport,2,Wheat,Agriculture,77731743.39568971,0.827,64284151.78823539,1.3493172170519274,1.3555257511963477
FOOD_M06,Beverages,12,Sugarcane,Agriculture,76163062.18851542,0.827,62986852.429902256,1.3220870473884045,1.3281702889507854
FOOD_M04,Grain Mill & Bakery,12,Sugarcane,Agriculture,74795537.19061208,0.827,61855909.25663619,1.2983486756008729,1.3043226911859127
SERV_018,Other Services,2,Wheat,Agriculture,74742257.7416702,0.827,61811847.15236126,1.297423816918541,1.3033935770055884
