Product_ID,Product_Name,Water_2019_Blue_m3_per_crore,Water_2019_Green_m3_per_crore,Green_share_pct,Tourism_Demand_crore,Water_Multiplier_m3_per_crore,Total_Water_m3,Source_Group,Water_pct,WSI_weight,Scarce_m3,Scarce_pct,Multiplier_Ratio,Green_Water_m3
44,Processed fruits & Processed Vegetables,181.8700749460727,0.0,0.0,132364.16937375735,14265.70994214802,1888268847.0193746,Manufacturing,32.77777590470609,0.814,1537050841.4737709,56.99190270968058,1.3674487448641561,6505715376.444372
120,Railway Transport,0.0,0.0,0.0,299205.8952074531,2314.930292760454,692640790.5882431,Services,12.023300946894743,0.0,0.0,0.0,0.22189912287019714,1003201157.8822327
118,Repair & Maintenance of Motor Vehicle,0.0,0.0,0.0,214397.9922186255,2956.324938282902,633830131.1137061,Services,11.002427981634954,0.0,0.0,0.0,0.28338041658351926,715865563.1320595
52,Non alcoholic beverages,6.643059215335444,0.0,0.0,30939.034282043867,10091.101618930132,312208938.9316677,Manufacturing,5.419522040996353,0.814,254138076.29037747,9.42311869455083,0.9672889957150571,817693607.6248307
61,Ready made garments,246.96443324227857,0.0,0.0,94068.90119003528,3050.706457557372,286976604.31576693,Manufacturing,4.981523071253213,0.814,233598955.91303426,8.661554067862495,0.2924274174403734,693832083.1179804
132,Research & Development Services,0.0,0.0,0.0,138583.44181379312,1980.2861978333672,274434877.0720981,Services,4.763815764531595,0.0,0.0,0.0,0.18982159925307646,384562789.5958532
122,Air transport,0.0,0.0,0.0,128040.66403584444,2015.2583228667468,258035013.86362046,Services,4.479136471133392,0.0,0.0,0.0,0.1931738746516415,320708419.47535145
51,Alcoholic beverages,6.643059215335444,0.0,0.0,30939.034282043867,7314.924763912068,226316708.0412471,Manufacturing,3.92854987327484,0.814,184221800.34557512,6.830711541220273,0.7011767887999796,583571477.9821272
119,Hotels & Restaurant,0.0,0.0,0.0,23874.250089283083,7538.423683395495,179974212.2963586,Services,3.1241072523056417,0.0,0.0,0.0,0.722600420583151,469881998.70724916
136,Public administration and defence,0.0,0.0,0.0,24735.6858159984,7114.328081269217,175977784.21021008,Services,3.05473470271673,0.0,0.0,0.0,0.6819484655678183,412963274.9308627
47,"Grain Mill products, starch and starch products",4.381454268377151,0.0,0.0,3022.098194234483,54353.45658647551,164261483.00039002,Manufacturing,2.851355667949665,0.814,133708847.16231747,4.957755074381113,5.2100853227507145,440401534.80948883
49,Bread & Bakery products,4.381454268377151,0.0,0.0,3022.098194234483,38659.84621377333,116833851.43202719,Manufacturing,2.0280765667281164,0.814,95102755.06567013,3.5262899689956324,3.705764269430084,231068509.57610145
127,Financial services,0.0,0.0,0.0,55966.03714570971,1659.8179646743001,92893433.86607817,Services,1.612503517752366,0.0,0.0,0.0,0.1591029119266597,171621343.56412658
126,Communication services,0.0,0.0,0.0,58723.60880494307,1363.6921117051202,80080922.0981582,Services,1.390095760420456,0.0,0.0,0.0,0.13071757901251238,126307213.233484
63,Leather footwear,36.50930418804127,0.0,0.0,24836.188150347076,1917.1117522964787,47613748.185276926,Manufacturing,0.8265098322538285,0.814,38757591.022815414,1.437082494106672,0.18376597239628228,105282838.52750514
80,"Synthetic fibres, resin",0.0915248417721519,0.0,0.0,6936.159096179311,4042.4627159048005,28039164.537888803,Petroleum,0.48672171509307915,0.814,22823879.933841486,0.8462806236127499,0.3874928474952453,61253926.25273598
124,Supportive and Auxiliary transport activities,0.0,0.0,0.0,12438.071585610263,2008.1988618672506,24978121.20204592,Services,0.43358617104423824,0.0,0.0,0.0,0.19249718550526698,33197406.27559305
76,Pesticides,0.0915248417721519,0.0,0.0,6936.159096179311,3147.62853161165,21832452.270931672,Petroleum,0.3789816418972289,0.814,17771616.14853838,0.6589490673972422,0.30171794479951847,38837383.075470105
73,Inorganic chemicals,0.0915248417721519,0.0,0.0,6936.159096179311,3121.1333326480053,21648677.35563491,Petroleum,0.3757915596163015,0.814,17622023.367486816,0.6534023561280257,0.2991782305676513,38400542.84191814
81,Other chemicals and chemical products,0.0915248417721519,0.0,0.0,6936.159096179311,3103.7142552546175,21527855.86352571,Manufacturing,0.3736942630374384,0.814,17523674.672909927,0.6497557108241034,0.29750851377017845,35440000.99720297
114,Electricity,5017.996459513858,0.0,0.0,2677.525416761989,7717.754055922934,20664482.645051584,Electricity,0.3587072796309493,0.814,16820888.873071987,0.6236973015318611,0.7397902480661949,16122007.62190843
67,"Publishing, printing and allied activities",640.745395443689,0.0,0.0,7691.926784309704,2592.732254744743,19943106.67481478,Manufacturing,0.34618517509441277,0.814,16233688.833299229,0.6019246661480102,0.24852800750171913,21669769.701134503
66,"Paper, Paper products and newsprint",1822.6095024829233,0.0,0.0,4235.442717285807,4660.339174030978,19738599.61473126,Manufacturing,0.3426352110112108,0.814,16067220.086391244,0.5957522153923244,0.4467197903233378,23833400.528561022
77,"Paints, varnishes and lacquers",0.0915248417721519,0.0,0.0,6936.159096179311,2705.0173571768373,18762430.74730504,Petroleum,0.32569024873417385,0.814,15272618.628306301,0.5662893975269596,0.25929116776576355,33376014.48852851
74,Organic chemicals,0.0915248417721519,0.0,0.0,6936.159096179311,2651.1747951384705,18388970.170861024,Petroleum,0.319207481673092,0.814,14968621.719080873,0.5550175763177099,0.25413005456647547,29797631.580805756
79,"Soaps, cosmetics and glycerin",0.0915248417721519,0.0,0.0,6936.159096179311,2646.5259309301564,18356724.909095623,Petroleum,0.318647747837625,0.814,14942374.076003836,0.5540443468836266,0.2536844347163255,32770468.96826192
