Rank,Year,TSA_Category,Demand_crore,Indirect_m3,Direct_m3,Total_m3,Total_bn_m3,Direct_pct,Indirect_pct,Agr_m3,Elec_m3,Petro_m3,Mfg_m3,Svc_m3,Agr_pct_of_indirect,Elec_pct_of_indirect,Petro_pct_of_indirect,Mfg_pct_of_indirect,Svc_pct_of_indirect,Scarce_indirect_m3,Scarce_total_m3,Has_Direct_TWF
1,2015,Food and beverage serving services/restaurants,249015.4,3176279329,388539375,3564818704,3.564819,10.9,89.1,2884224038,107371487,142060719,42623085,0,90.81,3.38,4.47,1.34,0.0,2622986286,2939257337,True
2,2015,Processed Food,88280.4,2629465533,0,2629465533,2.629466,0.0,100.0,2546815964,32445009,28282907,21921653,0,96.86,1.23,1.08,0.83,0.0,2173493552,2173493552,False
3,2015,Imputed expenditures on food,83946.0,2447845366,0,2447845366,2.447845,0.0,100.0,2368337098,30911565,27002600,21594103,0,96.75,1.26,1.1,0.88,0.0,2023334510,2023334510,False
4,2015,Accommodation services/hotels,128012.0,413463801,1151438227,1564902028,1.564902,73.58,26.42,222334933,67570438,107277727,16280704,0,53.77,16.34,25.95,3.94,0.0,339449888,1276720605,True
5,2015,Railway passenger transport services,21128.0,310386986,303219648,613606634,0.613607,49.42,50.58,303491107,3405159,2705054,785666,0,97.78,1.1,0.87,0.25,0.0,256600391,503421184,True
6,2015,Road passenger transport services,202506.0,397892690,0,397892690,0.397893,0.0,100.0,165093253,101578102,107927038,23294297,0,41.49,25.53,27.12,5.85,0.0,326030862,326030862,False
7,2015,Alcohol and tobacco products,40154.6,321755697,0,321755697,0.321756,0.0,100.0,299615572,9144604,8018500,4977021,0,93.12,2.84,2.49,1.55,0.0,265804140,265804140,False
8,2015,Travel related consumer goods,79669.0,236521781,0,236521781,0.236522,0.0,100.0,141622235,38515675,31733714,24650156,0,59.88,16.28,13.42,10.42,0.0,194369819,194369819,False
9,2015,Readymade garments,71367.0,217490141,0,217490141,0.21749,0.0,100.0,158192772,20061428,16226578,23009362,0,72.74,9.22,7.46,10.58,0.0,179093481,179093481,False
10,2015,Producers guest houses,68964.0,202449044,0,202449044,0.202449,0.0,100.0,174503106,13215717,10396474,4333747,0,86.2,6.53,5.14,2.14,0.0,167062062,167062062,False
11,2015,Health and medical related services,90644.0,166158543,0,166158543,0.166159,0.0,100.0,69068070,30731845,32512337,33846291,0,41.57,18.5,19.57,20.37,0.0,136150939,136150939,False
12,2015,Air passenger transport services,72134.0,149669900,918000,150587900,0.150588,0.61,99.39,58661078,24788340,51801106,14419377,0,39.19,16.56,34.61,9.63,0.0,122593893,123341145,True
13,2015,"Soaps, cosmetics and glycerine",43068.8,121245938,0,121245938,0.121246,0.0,100.0,75122061,19371774,20638064,6114039,0,61.96,15.98,17.02,5.04,0.0,99670780,99670780,False
14,2015,Gems and jewellery,43068.8,121245938,0,121245938,0.121246,0.0,100.0,75122061,19371774,20638064,6114039,0,61.96,15.98,17.02,5.04,0.0,99670780,99670780,False
15,2015,Vacation homes,36606.0,61643374,0,61643374,0.061643,0.0,100.0,42045680,9893751,7491043,2212900,0,68.21,16.05,12.15,3.59,0.0,50724300,50724300,False
16,2015,FISIM,42924.0,60450955,0,60450955,0.060451,0.0,100.0,21175744,13618048,22285412,3371751,0,35.03,22.53,36.87,5.58,0.0,49482362,49482362,False
17,2015,Footwear,19029.8,35675703,0,35675703,0.035676,0.0,100.0,26696655,3213505,2875507,2890036,0,74.83,9.01,8.06,8.1,0.0,29387079,29387079,False
18,2015,Travel agencies and other reservation services,9418.0,31011041,0,31011041,0.031011,0.0,100.0,12493451,6786232,9725471,2005887,0,40.29,21.88,31.36,6.47,0.0,25405402,25405402,False
19,2015,"Books, journals, magazines, stationery",9257.6,30102532,0,30102532,0.030103,0.0,100.0,8879496,4081449,3847175,13294412,0,29.5,13.56,12.78,44.16,0.0,24618894,24618894,False
20,2015,Social transfers in kind,4177.0,8605060,0,8605060,0.008605,0.0,100.0,3569839,1469661,2830651,734908,0,41.49,17.08,32.9,8.54,0.0,7050927,7050927,False
21,2015,Transport equipment rental services,964.0,3700550,0,3700550,0.003701,0.0,100.0,1713212,773753,719803,493781,0,46.3,20.91,19.45,13.34,0.0,3034519,3034519,False
22,2015,Sports and other recreational services,7925.0,3255534,0,3255534,0.003256,0.0,100.0,1606954,658899,756867,232814,0,49.36,20.24,23.25,7.15,0.0,2670895,2670895,False
23,2015,Cultural and religious services,7925.0,3255534,0,3255534,0.003256,0.0,100.0,1606954,658899,756867,232814,0,49.36,20.24,23.25,7.15,0.0,2670895,2670895,False
24,2015,Water passenger transport services,1538.0,1135444,0,1135444,0.001135,0.0,100.0,487117,256813,296317,95197,0,42.9,22.62,26.1,8.38,0.0,930584,930584,False
