Category_ID,Category_Name,Category_Type,Total_Water_m3,Green_Water_m3,Scarce_m3,Demand_crore,Water_pct,Scarce_pct,Intensity_m3_per_crore,Scarce_Intensity_m3_per_crore
FOOD_M02,Processed Fruit/Veg,Food Mfg,2447845365.852227,5331223432.913731,1992546127.8037128,83946.0,47.49950194923644,71.88480953409021,29159.76182131641,23736.046122551554
SERV_001,Hotels & Restaurants,Services,413463801.027273,669464769.8241382,0.0,128012.0,8.023106727575561,0.0,3229.8831439808223,0.0
SERV_003,Road Transport,Services,397892689.8083316,558706704.5697542,0.0,202506.0,7.720955277155659,0.0,1964.84395429435,0.0
FOOD_M06,Beverages,Food Mfg,314970161.8057965,753903572.0324583,256385711.70991835,37057.4,6.111875375525219,9.249591663829838,8499.521331928212,6918.610364189563
SERV_002,Railway Transport,Services,310386985.5564764,814419334.1151619,0.0,21128.0,6.022940595483473,0.0,14690.7887900642,0.0
TEXT_001,Ready Made Garments,Textiles,217490140.9145109,598301196.2840949,177036974.70441186,71367.0,4.22031289901838,6.386938314520098,3047.4889082420573,2480.6559713090346
FOOD_M04,Grain Mill & Bakery,Food Mfg,181620167.48194367,414564117.7470796,147838816.33030212,4334.4,3.524269800566325,5.333560415669345,41902.03199564961,34108.25404445878
SERV_012,Health & Social Work,Services,166158542.6799247,231662525.45199713,0.0,90644.0,3.2242428921401993,0.0,1833.0892577547845,0.0
SERV_004,Air Transport,Services,149669900.1643454,202467785.10971072,0.0,72134.0,2.9042870982674334,0.0,2074.8870181099815,0.0
SERV_018,Other Services,Services,140805670.1197918,271168278.79144794,0.0,32358.0,2.7322801087110626,0.0,4351.4948426908895,0.0
CHEM_M04,Other Chemicals,Manufacturing,121245937.56432985,286514809.3424802,98694193.17736448,43068.8,2.3527309886541072,3.560576681100778,2815.168696697606,2291.547319111851
SERV_006,Real Estate,Services,61643374.20430313,120465176.43502301,0.0,36606.0,1.1961660707907513,0.0,1683.9691363247318,0.0
SERV_005,Financial Services,Services,60450955.18939284,68258040.19222033,0.0,42924.0,1.1730276364300014,0.0,1408.3253002840565,0.0
TEXT_M01,Textiles,Textiles,37020735.96599246,108515780.31445774,30134879.07631786,6234.6,0.7183732047414725,1.0871718413473777,5937.9488605511915,4833.49037248867
TEXT_002,Leather Footwear,Textiles,35675703.14473741,99506146.24288546,29040022.35981625,19029.800000000003,0.69227335791036,1.0476728478562765,1874.7282233516592,1526.0287738082504
SERV_M03,Support & Travel Agencies,Services,31011041.026969098,41966068.86482198,0.0,9418.0,0.6017573757954829,0.0,3292.741667760575,0.0
