Source_Group,Water_m3,Scarce_m3,WSI_weight,Water_pct,Scarce_pct
Manufacturing,3285408842.0360284,2674322797.417327,0.814,63.752100468976195,96.48117162382594
Services,1748179547.4428225,0.0,0.0,33.92275467223631,0.0
Petroleum,107347437.75110987,87380814.32940343,0.814,2.083035922054317,3.1524254858413228
Electricity,12476872.693256734,10156174.372310981,0.814,0.24210893673317935,0.3664028903327367
Agriculture,0.0,0.0,0.827,0.0,0.0
Mining,0.0,0.0,0.814,0.0,0.0
