Year,Type,Inbound_Primary,Domestic_Primary,Final_Primary_MJ,Final_Primary_GJ,Final_Primary_TJ,Emission_MJ,Demand_crore
2022,Inbound,0.0,0.0,0.0,0.0,0.0,0.0,367018.3648658829
2022,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,1132174.0351630538
