Source_Group,Final_Primary_MJ,Emission_MJ,Energy_pct
Agriculture,0.0,0.0,0.0
Electricity,0.0,0.0,0.0
Manufacturing,0.0,0.0,0.0
Mining,0.0,0.0,0.0
Petroleum,0.0,0.0,0.0
Services,0.0,0.0,0.0
