Year,Type,Inbound_Primary,Domestic_Primary,Final_Primary_MJ,Final_Primary_GJ,Final_Primary_TJ,Emission_MJ,Demand_crore
2015,Inbound,0.0,0.0,0.0,0.0,0.0,0.0,235331.0
2015,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,694473.9999999999
