Year,Type,Inbound_Primary,Domestic_Primary,Final_Primary_MJ,Final_Primary_GJ,Final_Primary_TJ,Emission_MJ,Demand_crore
2019,Inbound,0.0,0.0,0.0,0.0,0.0,0.0,364325.41318030795
2019,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,1040690.0424732608
