TWF0_m3,TWF1_m3,dTWF_m3,W_effect_m3,L_effect_m3,Y_effect_m3,Sum_effects_m3,Residual_m3,W_effect_pct,L_effect_pct,Y_effect_pct,Residual_pct,Near_cancellation,Instability_ratio,SDA_Method,Period,Stressor,Unit
5153412699.923218,5760820540.445106,607407840.5218878,268866106.15586835,-1981363518.8579133,2319905253.2239327,607407840.5218878,0.0,44.265,-326.2,381.935,0.0,False,3.8,six_polar,2015→2019,water,bn m³
5760820540.445106,5384599518.264399,-376221022.180707,-13809089.876212915,-636374369.2034339,273962436.8989398,-376221022.18070704,5.960464477539063e-08,-3.67,-169.149,72.82,0.0,False,1.7,six_polar,2019→2022,water,bn m³
