,IN,IN.1,IN.2,IN.3,IN.4,IN.5,IN.6,IN.7,IN.8,IN.9,IN.10,IN.11,IN.12,IN.13,IN.14,IN.15,IN.16,IN.17,IN.18,IN.19,IN.20,IN.21,IN.22,IN.23,IN.24,IN.25,IN.26,IN.27,IN.28,IN.29,IN.30,IN.31,IN.32,IN.33,IN.34,IN.35,IN.36,IN.37,IN.38,IN.39,IN.40,IN.41,IN.42,IN.43,IN.44,IN.45,IN.46,IN.47,IN.48,IN.49,IN.50,IN.51,IN.52,IN.53,IN.54,IN.55,IN.56,IN.57,IN.58,IN.59,IN.60,IN.61,IN.62,IN.63,IN.64,IN.65,IN.66,IN.67,IN.68,IN.69,IN.70,IN.71,IN.72,IN.73,IN.74,IN.75,IN.76,IN.77,IN.78,IN.79,IN.80,IN.81,IN.82,IN.83,IN.84,IN.85,IN.86,IN.87,IN.88,IN.89,IN.90,IN.91,IN.92,IN.93,IN.94,IN.95,IN.96,IN.97,IN.98,IN.99,IN.100,IN.101,IN.102,IN.103,IN.104,IN.105,IN.106,IN.107,IN.108,IN.109,IN.110,IN.111,IN.112,IN.113,IN.114,IN.115,IN.116,IN.117,IN.118,IN.119,IN.120,IN.121,IN.122,IN.123,IN.124,IN.125,IN.126,IN.127,IN.128,IN.129,IN.130,IN.131,IN.132,IN.133,IN.134,IN.135,IN.136,IN.137,IN.138,IN.139,IN.140,IN.141,IN.142,IN.143,IN.144,IN.145,IN.146,IN.147,IN.148,IN.149,IN.150,IN.151,IN.152,IN.153,IN.154,IN.155,IN.156,IN.157,IN.158,IN.159,IN.160,IN.161,IN.162
IN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.2,0.0,0.0,1.0184876317130247,6.96431485856718e-08,9.505413482744349e-08,3.6905450227251267e-08,9.867618284895141e-08,1.6125172919583557e-07,2.091695329952497e-07,1.1339252884260605e-07,0.00014557938144352557,0.0004450210261748758,0.0006817554395927881,7.39271436170791e-05,3.486085750172128e-05,0.0004881968871934217,0.0008225494285304517,0.0,0.0,2.287157270660925e-07,1.6302957216065185e-07,2.6980185099176185e-07,5.4277699951858275e-08,4.406001275345795e-08,1.5685371743044053e-07,9.776491286908945e-10,2.7122915340218936e-08,1.0641794642891289e-07,0.0,0.0,1.0292932870895764e-07,1.3786287320155862e-07,2.0130897845039247e-08,2.6197262787370004e-07,1.321014737700952e-07,2.4031325983774187e-07,2.5545951005798888e-05,0.00010341901171807012,9.915399494788031e-05,1.5512536234758013e-07,7.936089810160564e-08,4.3918957219390424e-05,0.0003457694084284918,1.633827311937379e-07,3.4889211150891074e-05,1.8792103659313042e-06,6.780131274364732e-07,1.5659537696533573e-07,1.1639136244600107e-07,9.150587205187403e-08,2.516557002250573e-05,9.085171698244393e-06,0.0,7.463740976288194e-07,0.0,5.348737879016574e-07,2.0674189677350308e-07,6.900967008728582e-08,1.0551638789095655e-07,0.0,2.3524498678031837e-07,0.0,1.272802108745269e-07,1.066066297200494e-07,1.309604253834512e-07,1.2093988780302062e-07,1.6670078288968948e-07,0.0,4.810250502907935e-07,6.133226612256438e-07,1.0731043528362434e-07,0.0,3.7678561562814974e-07,2.169347261154394e-07,2.0175345644473442e-07,1.4597400482321119e-08,0.0,1.1986262694513862e-07,0.0,1.4474101571791486e-07,0.0,1.521583883256622e-07,0.0,2.003419517907715e-07,0.0,2.961721490733392e-07,1.529368018365844e-07,7.630753045007862e-08,1.575615791670054e-07,2.5949629214729514e-08,1.4874266466738264e-08,0.0,1.2460709658247555e-07,1.9243319176623497e-07,2.853201307234091e-06,1.366285638562418e-08,0.0,1.9552712230778704e-07,1.148157060783086e-07,5.277180619047521e-08,6.447572561811363e-08,7.792199772334457e-08,1.1840168390366783e-07,7.092253540901997e-10,1.1701375320002692e-07,0.0,0.0,0.0,0.0,9.761261366608883e-08,9.543783330119256e-08,6.918319213417563e-08,8.649876629831e-08,1.2330512693628532e-07,2.3591385805339105e-07,0.0,1.3560922731907454e-07,7.130171285148357e-07,3.9158927512202504e-07,2.496548924973495e-07,1.2227808922515644e-06,1.1775393300671557e-07,7.950325767235691e-08,1.1528850644493221e-07,1.3795270264421397e-07,2.343248879579686e-07,1.9527077818512537e-07,3.2825302770761277e-07,1.7713734595231873e-07,9.604080829970682e-08,1.3070736445303843e-07,7.34868324774543e-08,8.610237186995623e-08,2.44326560911334e-07,1.853092236814415e-07,7.188001117668634e-07,5.00518451465017e-07,1.2519500347306376e-07,2.772874386181051e-07,4.813680696003852e-07,2.341338405973045e-07,1.1715012842507755e-09,4.0847540061100125e-10,3.393297170932676e-07,5.257467142574507e-10,5.525178111789919e-10,2.3887821020701903e-07,0.0,0.0,0.0,2.1940672523209757e-07,0.0,2.874103394371025e-07,2.511975643771062e-07,3.4360819404095114e-07,3.40606012692117e-07,2.0817697254437498e-07,3.3212505624919985e-07,3.1795709647073525e-07,3.217249195506324e-07,7.224091433412336e-07,2.150595531053463e-07,2.8085781224349004e-07
IN.3,0.0,0.0,1.9744528011656174e-09,1.1113849943822407,7.936855148457387e-07,3.4889209189134385e-07,1.568614132524508e-06,7.780883021705674e-07,3.268248383828817e-07,1.394266864742653e-06,0.006491024671918111,0.0018588167216396897,0.00023791801439614773,0.004357420784667501,0.004654617394527346,0.0020744589666413992,0.00014610739524959068,0.0,0.0,5.296317307108745e-07,1.7532688606228925e-06,1.8518494045995692e-06,3.2475119341217653e-07,2.6390290542360634e-07,2.6418210283602997e-07,1.748817282836735e-08,5.079876429610558e-07,1.3377267186838458e-06,0.0,0.0,1.0811730287967968e-06,2.5744151704264875e-06,4.232169641568962e-07,6.333139739731866e-07,9.085095588733622e-07,9.835860348003717e-07,0.000880844781621226,0.0005566913248774556,6.845590176666722e-05,8.698680484585229e-07,2.974029338510082e-07,0.00021101746626871548,6.725730967216448e-08,4.710116598986373e-07,2.0840305875254748e-05,1.6176892609017085e-06,2.017256684183705e-06,1.6584766125255125e-06,5.348140590739273e-07,2.3331649123382048e-07,0.00013525648682855178,8.053259023551704e-06,0.0,9.652112269262665e-07,0.0,1.6783545342317812e-06,1.0928851756870827e-06,3.2565460136224483e-07,3.4931221151131765e-07,0.0,7.84589455341024e-05,0.0,2.7921747144297613e-06,3.208837696753954e-05,1.956909219666251e-06,4.662250207548909e-06,2.9012114881332633e-06,0.0,9.259640497824062e-07,7.94238416886079e-07,3.024516949017528e-07,0.0,4.339872855910573e-06,6.355940176407024e-07,7.114247327945567e-07,1.2519341774720943e-07,0.0,2.8793900882089983e-07,0.0,4.2455670976036105e-07,0.0,5.991616640558589e-07,0.0,3.900281313656213e-07,0.0,8.531103197664895e-07,6.804054065103854e-07,3.822733055301649e-07,1.4246682623971311e-06,5.505858318749213e-07,3.1502334024396377e-07,0.0,8.216505039286926e-07,7.87548083438034e-07,5.204465503420719e-06,4.084957315722351e-08,0.0,4.932972735593177e-07,2.528182870679804e-07,1.3160186605371505e-07,2.84299832825588e-07,1.4246122860951234e-07,3.2833575449831593e-07,2.3177744594977516e-09,2.750222834393734e-07,0.0,0.0,0.0,0.0,3.7115607941556555e-07,3.808197727056146e-07,1.4587722011664645e-07,1.897930180823888e-07,4.97147974666634e-07,4.436850235390234e-07,0.0,2.424937013353609e-07,6.182779535122035e-06,5.569489291504453e-07,3.687309220087042e-07,1.7274248226186447e-06,2.6983461139160665e-07,1.891858729915882e-07,6.834083161948636e-07,2.833190148805091e-07,5.227033966333528e-07,3.304859076028793e-07,4.892551257547439e-07,3.490483628755356e-07,1.7234368657885996e-07,2.4508326873597053e-07,1.2322918397505517e-07,2.0007098271715668e-07,5.708437952738209e-07,4.061867095554537e-07,1.5251409527361128e-05,6.686284243129471e-07,2.545505754927569e-07,5.151180378654751e-07,1.3428133016607729e-06,4.2884869712325003e-07,3.836286164698592e-09,9.895814643370935e-10,6.389851224608884e-07,1.368421187373095e-09,1.512215200051781e-09,5.00175763257822e-07,0.0,0.0,0.0,4.724992001835858e-07,0.0,5.606060680391931e-07,5.484485660558868e-07,6.52968414849055e-07,6.372086187817882e-07,4.282397203938039e-07,6.158577417389244e-07,5.798218652522503e-07,5.88278415212965e-07,3.0866888679779647e-06,4.803538062536516e-07,7.258945576948697e-07
IN.4,0.0,0.0,6.342950095876244e-07,0.00024864638159175656,1.0038765502404225,0.00012474116650738374,0.0003040362077150909,0.0004518547360809782,0.000565271508474678,0.060137588991429305,0.25084335230313737,0.20138024399619323,0.22858482606628835,0.0958468053325125,0.04013931287760413,0.36275552839585007,0.22195064902566197,0.0,0.0,0.014295209356117134,0.11184252944778549,0.0006738213792846034,8.560282691121829e-05,7.536213488997385e-05,0.0007147773167521579,2.0592166413500696e-06,4.59260938155918e-05,0.0003475906244092476,0.0,0.0,0.0003344928324313114,0.0002676472620902754,3.3327163057858104e-05,0.0005958395131364522,0.00020781223225478353,0.00034650227963112375,0.03770760150352357,0.04849101079666103,0.03406949546747734,0.00018670672743401057,0.00020637557175510487,0.033430207593815396,0.00011829653513059293,0.00042917159211044493,0.009472942564131896,0.017827060377398417,0.07204797940387404,0.09507961787661455,0.005736739266002886,0.000878686832526395,0.012784699048839242,0.003526735103571997,0.0,0.0028197145741365908,0.0,0.0017203466647255142,0.0007353638880462112,0.0002047595713767698,0.0003250148510558723,0.0,0.0006990437535387124,0.0,0.00038585325872394626,0.0004909932071154385,0.0002679377927376559,0.0004997443816366676,0.00036831374402430933,0.0,0.0005694207943787174,0.0008209347339678878,0.0003927938435873778,0.0,0.0006228189245613326,0.00029695536573259715,0.00029361049603770416,3.1053195839885496e-05,0.0,0.00038630823585370183,0.0,0.0005252182705416465,0.0,0.0003926203035959128,0.0,0.00046439312057612424,0.0,0.0006949057232461044,0.00045761831015238405,0.0001798583003027756,0.0007917469559278609,4.287880236526548e-05,2.4581217023806512e-05,0.0,0.0003964020732090085,0.0005937516708820173,0.003046377010124139,2.284284956538054e-05,0.0,0.0005461618192872332,0.00027745105278141445,0.00016401725049100405,0.00018261830275105966,0.00023336997203721697,0.0003266937848556631,2.130590112991033e-06,0.0005000063539264234,0.0,0.0,0.0,0.0,0.00026048029391438073,0.0002562534352166421,0.0002848533874079855,0.00012140205784121889,0.00046619569761744637,0.00042379369391638583,0.0,0.0006532486703754066,0.0013738087317906023,0.001052728785854883,0.0005522742127030579,0.0013551519564194503,0.0002822053669698132,0.00020929583801593114,0.00029070324500594935,0.0002890647481588658,0.0004014192018682797,0.0006817803886895542,0.0013103188959398778,0.0006497223267172997,0.0003146661100494765,0.00044295163746423816,0.0002323797937033025,0.0002921015291867523,0.0010236983090822092,0.0006451657728864173,0.0011877249190358357,0.0047013277217206086,0.00024411104646604323,0.0003823195318580081,0.0007674879144943202,0.0009327617093202819,5.796908350708058e-06,2.3599553510790974e-06,0.0012381225355842208,2.6551221289458262e-06,2.851430547977074e-06,0.0004191784603704283,0.0,0.0,0.0,0.0003489147726261079,0.0,0.0010358800342992044,0.0003900871150032172,0.0012723100095592273,0.0012772867083911277,0.00036628506767832713,0.0012719284575129872,0.0012655097998763376,0.0012679470329241627,0.0012135517969045306,0.0006464816047816019,0.0010820028701107613
IN.5,0.0,0.0,6.444592193914613e-07,0.0003057777926144524,0.0003870463667440184,1.1099474614210034,0.0004716847368885126,0.000785191407522218,0.0010223650502826519,0.0003857382794452305,0.002405394394253237,0.0063349580915183,0.005590150419628838,0.0011407347874577733,0.0013564328944471978,0.004129836923836996,0.0009721817959494643,0.0,0.0,0.0009494366447575314,0.0007517367769620659,0.0007562693952689384,0.00012060836254188775,0.0001014250500562642,0.0006539642196623943,1.4207498237453322e-06,3.596036806233626e-05,0.00023506753111270288,0.0,0.0,0.00025949703968904824,0.00019838133311034543,2.2626734780671417e-05,0.0008428081583700599,0.00032557238209793716,0.0006619257575118117,0.0007864286884288421,0.0022014419125267557,0.0014098906779670313,0.00023087646980180806,0.00037505652776394243,0.0023006854602486927,0.00021383297912084994,0.0007655386577432557,0.06681052137459777,0.13255744726670954,0.0029468075941634884,0.000695981391126011,0.00046221983297435745,0.0004073978524381752,0.002106127133354477,0.021231634676080503,0.0,0.0019653715551776357,0.0,0.001875046213486813,0.0008834690186952874,0.00031857674288567056,0.0004770442491708916,0.0,0.0019108987662977454,0.0,0.0006135832717362536,0.000641843755269297,0.0007146749378960832,0.0005447521802627854,0.0005827060545232497,0.0,0.0015682477734048047,0.00300917809884032,0.000401303422646537,0.0,0.0018799002407348274,0.000555721033454088,0.0005321848515537833,5.710276701868827e-05,0.0,0.0004970660722181234,0.0,0.0005821945648140153,0.0,0.0006576781797404426,0.0,0.0007480072209527698,0.0,0.0009398246059829152,0.0006856396674131569,0.0003222304388381837,0.0005843393521170852,2.8716124653548626e-05,1.655608139718198e-05,0.0,0.0005557872702226778,0.000709415301102862,0.008695914496717947,3.484792667674533e-05,0.0,0.0008537450111347885,0.0005005108134331967,0.00020733420278588242,0.00025047529313422995,0.00033278326103079666,0.0005421339058529202,3.1242308256111423e-06,0.0003704844166248564,0.0,0.0,0.0,0.0,0.0003707583483907679,0.00036262132209980574,0.0002691905211330906,0.00025892322813403097,0.0004901400280961424,0.0009512171672370755,0.0,0.00043310808452509734,0.000893360678273571,0.001974715961952461,0.0013127986651597595,0.0030683044598367785,0.0004094095199267707,0.00030936546200751756,0.00046176598463906835,0.0005949358658793007,0.0009168467919929129,0.0007827396349176918,0.0014366943303050883,0.0007100506807268616,0.0003627999091073882,0.0005108869248527776,0.0002960437460886237,0.0002839730337798128,0.001069447785528745,0.0006800126459104376,0.0007953117945146264,0.0014527243297415206,0.0005718858589268541,0.0011742521417440466,0.0021157065529458998,0.0010050308310237226,3.6012416786607837e-06,1.2643117049530372e-06,0.0014302038791543692,1.6505862806769317e-06,1.6927780819076504e-06,0.001137524442815002,0.0,0.0,0.0,0.0010870252142941381,0.0,0.0012283996237408596,0.0011896804142633196,0.0014500008096776558,0.0014378575186448981,0.0010353613360980479,0.0014109227172569498,0.0013668737341230189,0.001378872638051484,0.0013308298749329403,0.0006098928362318522,0.000654671408606651
IN.6,0.0,0.0,1.3209976615236599e-08,4.428661837468158e-06,7.766129119195997e-06,2.5696615775016582e-06,1.0499518111986996,9.306351161530707e-06,1.0486139311480528e-05,1.0905662728851474e-05,4.1708696643840163e-05,0.0001309509428751389,0.00016483612104791417,2.2399986477804012e-05,1.5509347893541134e-05,0.00011054327915743555,0.0001732296345329005,0.0,0.0,1.4825127504124327e-05,1.0318870870468325e-05,1.7681509925538368e-05,3.762942894638588e-06,3.454259168577984e-06,1.2225154547260622e-05,2.5648336191100897e-08,6.409919438129847e-07,5.098177639739856e-06,0.0,0.0,5.287965539803935e-06,3.4179914881266295e-06,3.102982147626853e-07,1.2580653397672158e-05,4.495568254551656e-06,8.369985556267365e-06,1.1029835367396605e-05,3.864884390297108e-05,2.9919915321574885e-05,1.9580809636025843e-06,0.07808238068601255,2.5275262020679253e-05,2.1832068232997137e-06,9.238307991982082e-06,0.0003344177766982359,2.83588795558067e-05,6.442157379467817e-05,8.318550864529706e-06,9.117237757625031e-06,6.468834872550227e-06,3.7861266380909324e-05,0.0001858324377200429,0.0,2.4901935213383593e-05,0.0,3.033027637797371e-05,1.9416738915289417e-05,4.711450912099163e-06,6.9337128175350695e-06,0.0,0.00016497403323268976,0.0,1.6728578652296028e-05,7.000065742348584e-05,1.1087800230042303e-05,1.7062182694870242e-05,1.4173780496200591e-05,0.0,2.8121078780481813e-05,7.177851529481755e-05,8.576283345430767e-06,0.0,5.2182076454335575e-05,7.4366810672121906e-06,7.387676946080401e-06,1.2560356234710188e-06,0.0,7.709899167934393e-06,0.0,1.0635109533683883e-05,0.0,1.0024001637084068e-05,0.0,1.053867018385429e-05,0.0,1.3538022039072703e-05,1.2064756448503053e-05,5.6790253322566766e-06,1.5463507224084275e-05,3.8217359161672044e-07,2.2176876370297468e-07,0.0,1.076578541392706e-05,1.6085717601043372e-05,0.0001152986643937382,1.6271532010252249e-06,0.0,1.8488134877102427e-05,6.984890401135193e-06,3.5676415497132176e-06,4.4445235516672205e-06,4.821876990511813e-06,1.0253702814908855e-05,4.567157428088847e-08,9.682324848168482e-06,0.0,0.0,0.0,0.0,7.5339012688542996e-06,7.486309034941011e-06,7.714533598116604e-06,4.011952315213523e-06,1.0844101572764971e-05,1.186937869043338e-05,0.0,1.206091469425101e-05,2.8191774190552264e-05,1.854018418163669e-05,1.1278141668157607e-05,0.00024576517644423526,5.952726319337568e-06,5.9235318919349015e-06,7.65910563356501e-06,9.535037724607473e-06,1.4789212449392448e-05,1.6682407249046403e-05,2.3656594047210926e-05,1.3898265827012007e-05,6.947450613195078e-06,8.880767141703836e-06,4.697924384360927e-06,6.508012855888914e-06,1.6498979387394274e-05,1.3862734639575966e-05,1.0583884822964018e-05,6.24332779881223e-05,7.305754018785531e-06,1.639193182651432e-05,2.5645440110174114e-05,1.649674593630908e-05,9.536408879849517e-08,3.69508448100666e-08,2.2288090407927158e-05,4.413041917739153e-08,4.746035990714551e-08,1.1354150768218289e-05,0.0,0.0,0.0,1.0558459440343264e-05,0.0,1.879626498835874e-05,1.108380665977195e-05,2.2616646478880785e-05,2.266540698606546e-05,1.0394737428535171e-05,2.2574162973763893e-05,2.238841208139522e-05,2.2442075990332292e-05,2.0031564946493302e-05,1.1415464057552034e-05,1.685490053756117e-05
IN.7,0.0,0.0,5.540854039259626e-09,2.156294279349887e-06,2.7711057628116045e-06,1.2303500075572252e-06,3.1875240123430067e-06,1.0000053414836343,6.9856583640207955e-06,2.756663713812814e-06,2.2981882098787872e-05,9.469177845756049e-05,7.102414624644939e-05,5.719991681576055e-06,3.2930629766876402e-06,3.530752496343987e-05,7.812143086561907e-06,0.0,0.0,7.010847797948888e-06,5.094956143331398e-06,7.085829447439076e-06,1.3188463558371876e-06,1.0636941038420018e-06,4.460796465359202e-06,1.674963938155433e-08,4.288513790137003e-07,2.0752071328961715e-06,0.0,0.0,2.2469642193958995e-06,2.186575329103177e-06,2.8640565467851674e-07,9.149280685091579e-06,4.172072937925809e-06,8.616453768588236e-06,7.4811306679229176e-06,2.7531735104775555e-05,1.6376405483134093e-05,3.1078603694994695e-06,2.6261905885880167e-06,3.641016303739995e-05,1.457999138253777e-06,0.2405792050117232,0.0015236133448110177,8.332424710948926e-05,2.061289562539087e-05,5.0378000167024795e-06,3.6443352186180148e-06,3.110050400956027e-06,1.7327259056838652e-05,0.00040251926533000954,0.0,2.988279019684269e-05,0.0,2.1406666037357636e-05,6.851725092138133e-06,2.2179810259665928e-06,3.350322825374291e-06,0.0,8.848652470091437e-06,0.0,4.038878756079522e-06,2.8235795559240765e-06,4.6769939203390404e-06,3.7031303775634016e-06,6.210543535736011e-06,0.0,1.799427502199516e-05,2.4976781679297804e-05,3.048342873827523e-06,0.0,1.4571726121749413e-05,7.093351410440953e-06,6.5019164828748925e-06,4.299139944462566e-07,0.0,3.7928696808673358e-06,0.0,4.597425453234595e-06,0.0,5.229472236268909e-06,0.0,7.0105469443287285e-06,0.0,6.8019828621794864e-06,5.078399725742788e-06,2.6821195418537806e-06,4.2810193965304915e-06,3.654294485820807e-07,2.1008900821023943e-07,0.0,4.112846751228956e-06,6.363003313884988e-06,9.790600499480539e-05,2.747031638592766e-07,0.0,6.52695380327785e-06,3.6605588815553787e-06,1.702027434130195e-06,2.0985008221390266e-06,2.565530791259891e-06,3.947614420037928e-06,2.2734170014017057e-08,3.2242152259932855e-06,0.0,0.0,0.0,0.0,3.0881807277832272e-06,3.0360644717405876e-06,2.0015101916236793e-06,3.2496625236795916e-06,3.592772078297141e-06,8.97901973040675e-06,0.0,3.6962698198380506e-06,1.0093257012329621e-05,1.3278568987404451e-05,8.648322093919298e-06,2.052979411294096e-05,3.937997639941228e-06,2.350423633294096e-06,3.93983010426655e-06,4.212575331504986e-06,7.320513754929202e-06,5.480756217416293e-06,9.636992694561082e-06,4.992233613953537e-06,2.822180460468451e-06,3.9047454633122506e-06,2.3025941788503665e-06,2.506633624568626e-06,6.977315834908764e-06,5.0469482299119125e-06,1.0121701646702978e-05,8.689764493672248e-06,3.920734840398978e-06,8.496372197628674e-06,1.5013636056058914e-05,6.765834968705477e-06,2.7620940404776254e-08,9.1950839752885e-09,9.885899320654399e-06,1.2588459539041114e-08,1.301130394578215e-08,7.955594095742803e-06,0.0,0.0,0.0,7.4695314435631355e-06,0.0,8.439650863886461e-06,8.427160699982727e-06,1.0000315179982405e-05,9.892928629455523e-06,7.048047081251076e-06,9.63037576824236e-06,9.196356451114432e-06,9.312339622572488e-06,1.687169945705302e-05,5.9756975800763765e-06,6.172186091766423e-06
IN.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.9,0.0,0.0,2.1908124181165928e-08,9.009722179731404e-06,1.2206386036406862e-05,4.499528096061124e-06,1.088275224170209e-05,1.6197084260780977e-05,2.0268223928473315e-05,1.002264293661091,0.003963346146164452,0.007074995630309864,0.007765568542054213,0.003245635571773946,0.0012241927607818683,0.008019842758343628,0.007827112418006116,0.0,0.0,0.0005373332576521749,0.004212069264373563,2.2919121526063408e-05,2.8965735750917713e-06,2.5988914985731945e-06,2.6130479978799123e-05,6.067387204333328e-08,1.2475802721904746e-06,1.16659941559948e-05,0.0,0.0,1.1391957084382267e-05,7.5841158372801135e-06,8.555657669779114e-07,2.105543781449097e-05,6.674195289601838e-06,1.1491518371282717e-05,0.0006365033764884521,0.0016995295836549136,0.0011578842196024047,6.077340081736087e-06,7.3595432932773514e-06,0.0007592741296929046,4.242663295324568e-06,1.527187024098941e-05,0.00022371316625294948,0.0006641687657944416,0.0027108333711239893,0.003580600767237829,0.00021541127843041708,3.26183775509957e-05,0.0004377152144457439,9.711895449344041e-05,0.0,0.00010310445989366602,0.0,6.248344236780819e-05,2.669591800525835e-05,7.350983963300166e-06,1.1697985077707456e-05,0.0,2.1109677752055813e-05,0.0,1.3733508049990277e-05,1.6156336821719725e-05,9.328909767559786e-06,1.797042191767484e-05,1.2966146755689082e-05,0.0,1.9390109228026684e-05,2.8345742846313535e-05,1.4169018263785452e-05,0.0,2.1566115411071758e-05,1.020593172519579e-05,1.003946357391612e-05,1.0792857875713917e-06,0.0,1.3933496133057994e-05,0.0,1.9053179911658148e-05,0.0,1.4031687289702164e-05,0.0,1.6501516473434797e-05,0.0,2.4929730307562215e-05,1.646315618308555e-05,6.3765803808611585e-06,2.8935370475227786e-05,1.0951917446175728e-06,6.285236396700642e-07,0.0,1.4273687677184723e-05,2.1412681870675545e-05,0.00010377081144680994,7.762981790339814e-07,0.0,1.9569791013754164e-05,9.875924855488832e-06,5.905465986071219e-06,6.533785120776471e-06,8.406845172580751e-06,1.1699945320221464e-05,7.659738722768396e-08,1.821162065990516e-05,0.0,0.0,0.0,0.0,9.266378473670582e-06,9.115501937128535e-06,1.0365651924783917e-05,4.180176653592938e-06,1.6724033322013756e-05,1.4880649001519901e-05,0.0,2.388140232462883e-05,4.6324098133275424e-05,3.7758234524634115e-05,1.9605257825877902e-05,4.176924298529333e-05,1.0036333234673635e-05,7.463843292377707e-06,1.0364667426173927e-05,1.015881281706449e-05,1.3935065187811894e-05,2.463685539973582e-05,4.766548773947398e-05,2.354474774752356e-05,1.1379376313402872e-05,1.6036714053252365e-05,8.405395372288021e-06,1.0569280465182769e-05,3.717581124951405e-05,2.3311677671918314e-05,3.0335754917783142e-05,0.00017417279486545845,8.519047275767381e-06,1.3061564651191839e-05,2.6554609132666498e-05,3.391678319297815e-05,2.1171800857566526e-07,8.67140197844105e-08,4.4859878606301075e-05,9.7307330271197e-08,1.0446762672582955e-07,1.4592789820588769e-05,0.0,0.0,0.0,1.2052644877725697e-05,0.0,3.7518369300768835e-05,1.3432088988626033e-05,4.612951006045456e-05,4.633422675286338e-05,1.2764812277094523e-05,4.617935525826023e-05,4.6015222119560144e-05,4.608675358335312e-05,4.116099945062692e-05,2.3179651435968492e-05,3.906205461280702e-05
