,Final_Consumption_Households,Final_Consumption_NonProfit,Final_Consumption_Government,Gross_Fixed_Capital_Formation,Changes_in_Inventories,Changes_in_Valuables,Exports
IN,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.1,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.2,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.3,0.0,0.0,0.0232695172033,0,0.0,0.0,0.00262217630357
IN.4,0.0,0.0,0.195747566939,0,0.0,0.0,0.0212394470193
IN.5,0.0,0.0,3.49019298443,0,0.0,0.0,0.00999779128191
IN.6,0.0,0.0,0.469423390546,0,0.0,0.0,0.00577536198249
IN.7,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.8,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.9,0.0,0.0,0.0,0,0.0,0.0,9.15890028973e-05
IN.10,0.0,0.0,0.0202079451009,0,0.0,0.229838489007,0.00071391733755
IN.11,0.0,0.0,0.0288876243454,0,0.0,0.00149112630086,0.000299098048605
IN.12,0.0,0.0,0.0347930222377,0,0.0,0.00179595213247,0.00036024163607
IN.13,0.0,0.0,0.058869426079,0,0.0,0.0121136746192,0.00064835275823
IN.14,0.0,0.0,0.00241461273536,0,0.0,0.0011432837265,2.73273600457e-05
IN.15,0.0,0.0,0.0651451355052,0,0.0,0.0288087446614,0.000741469663203
IN.16,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.17,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.18,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.19,0.0,0.0,0.133727512495,0,0.0,0.0,0.026530655438
IN.20,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.21,0.0,0.0,0.00178172020555,0,0.0,0.0,0.0
IN.22,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.23,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.24,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.25,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.26,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.27,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.28,0.0,0.0,0.0,0,0.0,0.0,0.0
