Sector_Code,Sector_Name,Category,Water_2015_m3_per_million_EUR,Water_2015_m3_per_million_INR,Water_2015_m3_per_INR_crore,Water_2022_m3_per_million_EUR,Water_2022_m3_per_million_INR,Water_2022_m3_per_INR_crore,Absolute_Change_EUR,Absolute_Change_INR_crore,Percent_Change
IN.36,Meat poultry products,Manufacturing,11.9398306296051,0.17056900899435856,1.7056900899435856,157.06980622243552,1.9038764390598244,19.038764390598246,145.12997559283042,17.33307430065466,1015.5958836807685
IN.37,Meat products nec,Manufacturing,0.6045398098022801,0.00863628299717543,0.08636282997175429,13.7505129944472,0.1666728847811782,1.666728847811782,13.145973184644921,1.5803660178400278,1808.9684346889676
IN.38,Vegetable oils and fats,Manufacturing,51.24931453087761,0.732133064726823,7.321330647268231,76.95764904387389,0.9328199884105925,9.328199884105926,25.708334512996274,2.0068692368376952,27.407520003025336
IN.39,Dairy products,Manufacturing,18.0126646022019,0.25732378003145573,2.5732378003145575,600.6808126068835,7.280979546750102,72.80979546750102,582.6681480046816,70.23655766718646,2728.4409256442414
IN.40,Processed rice,Manufacturing,6.2500025519861,0.08928575074265857,0.8928575074265857,305.500476194982,3.703036075090691,37.03036075090691,299.2504736429959,36.137503243480324,4042.870697312834
IN.41,Sugar,Manufacturing,15.1119826951,0.21588546707285713,2.158854670728571,17.512327586628203,0.2122706374136752,2.122706374136752,2.400344891528203,-0.036148296591819395,-1.673644855911796
IN.42,Food products nec,Manufacturing,113.50225157849479,1.62146073683564,16.2146073683564,893.681026686579,10.832497293170654,108.32497293170654,780.1787751080842,92.11036556335014,568.0352482084448
IN.43,Beverages,Manufacturing,13.83903842428,0.1977005489182857,1.977005489182857,28.520596584144,0.34570420101992727,3.457042010199273,14.681558159863998,1.480036521016416,74.82469230294406
IN.44,Fish products,Manufacturing,294.1584078834607,4.202262969763725,42.02262969763724,1195.0967462315405,14.486021166442915,144.86021166442916,900.9383383480797,102.83758196679192,244.713706804279
IN.45,Tobacco products,Manufacturing,0.792904353994,0.011327205057057144,0.11327205057057144,3.4138633819100006,0.041380162204969706,0.41380162204969706,2.6209590279160007,0.3005295714791256,262.99481804916627
IN.46,Textiles,Manufacturing,279.912256390014,3.998746519857343,39.98746519857343,455.38361085237705,5.5198013436651765,55.19801343665176,175.47135446236302,15.210548238078331,38.03733942412214
IN.47,Wearing apparel; furs,Manufacturing,114.21405197599998,1.6316293139428568,16.316293139428566,243.54005822250002,2.952000705727273,29.52000705727273,129.32600624650004,13.203713917844162,80.9185310640718
IN.48,Leather products,Manufacturing,22.855088504003103,0.32650126434290144,3.2650126434290145,35.778747436546006,0.43368178710964855,4.3368178710964855,12.923658932542903,1.071805227667471,32.81693442993453
IN.49,Wood products,Manufacturing,33.659102131945,0.4808443161706428,4.808443161706428,335.2081245703,4.0631287826703035,40.63128782670304,301.549022438355,35.82284466499661,744.8439135371002
IN.50,Pulp,Manufacturing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.51,Re-processing of paper,Manufacturing,806.4170500706344,11.520243572437636,115.20243572437636,1701.6763212774026,20.626379651847305,206.26379651847304,895.2592712067682,91.06136079409669,79.0439627269108
IN.52,Paper products,Manufacturing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.53,Printed matter,Manufacturing,401.46095894998103,5.735156556428301,57.35156556428301,631.1610018453482,7.650436386004221,76.5043638600422,229.70004289536718,19.152798295759197,33.394841376872655
IN.54,Coke Oven Coke,Manufacturing,292.67121637655,4.181017376807857,41.81017376807857,523.3170965025145,6.343237533363812,63.43237533363812,230.64588012596448,21.62220156555955,51.71393103072217
IN.55,Gas Coke,Manufacturing,23.67090347224,0.33815576388914287,3.3815576388914286,53.27636141216399,0.6457740777232,6.457740777231999,29.605457939923994,3.0761831383405704,90.942519440666
IN.56,Coal Tar,Manufacturing,97.9971553,1.3999593614285715,13.999593614285715,52.6812020779311,0.6385600251870436,6.385600251870436,-45.315953222068906,-7.613993362415279,-54.38336096439673
IN.57,Gas Works Gas,Manufacturing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.58,Coke oven gas,Manufacturing,697.2539194,9.960770277142856,99.60770277142856,1294.3698032,15.689330947878787,156.89330947878787,597.1158838,57.28560670735931,57.51064426449987
IN.59,Blast Furnace Gas,Manufacturing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.60,Other recovered gases,Manufacturing,834.6826128093322,11.924037325847603,119.24037325847604,1556.6519175712417,18.868508091772625,188.68508091772625,721.9693047619095,69.44470765925021,58.23876877760955
IN.61,Petroleum Refinery,Manufacturing,1249.6746434946567,17.852494907066525,178.52494907066526,2545.1868627183603,30.85074985113164,308.5074985113164,1295.5122192237036,129.98254944065113,72.80877100348063
IN.62,Ethane,Manufacturing,138.1170604308436,1.9731008632977656,19.731008632977655,302.648029342815,3.668460961731091,36.68460961731091,164.5309689119714,16.953600984333256,85.91928627073014
IN.63,LPG,Manufacturing,69.49512644127,0.9927875205895714,9.927875205895715,52.90149861463,0.6412302862379394,6.412302862379394,-16.593627826640002,-3.515572343516321,-35.40755896930593
IN.64,Motor Gasoline,Manufacturing,26.8874751449,0.38410678778428575,3.8410678778428577,146.965675049004,1.7814021218061091,17.814021218061093,120.078199904104,13.972953340218236,363.683146276515
IN.65,Aviation Gasoline,Manufacturing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.66,Gasoline Type Jet Fuel,Manufacturing,13.749237788941,0.19641768269915716,1.9641768269915716,26.680775752216302,0.3234033424511067,3.234033424511067,12.931537963275302,1.2698565975194953,64.61793056370809
IN.67,Kerosene Type Jet Fuel,Manufacturing,75.0596435704965,1.0722806224356642,10.722806224356642,156.0137710228373,1.8910760123980277,18.91076012398028,80.95412745234078,8.187953899623636,76.35305719182612
IN.68,Kerosene,Manufacturing,101.36013255738999,1.4480018936769998,14.480018936769998,188.2697629851178,2.2820577331529432,22.82057733152943,86.90963042772782,8.340558394759434,57.596488418236966
IN.69,Gas/Diesel Oil,Manufacturing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.70,Heavy Fuel Oil,Manufacturing,33.131843221,0.47331204601428567,4.733120460142857,13.95159167673,0.16911020214218184,1.6911020214218184,-19.180251544269996,-3.0420184387210383,-64.25730955374216
IN.71,Refinery Gas,Manufacturing,853.17686777795,12.188240968256428,121.88240968256429,1442.1069460190802,17.48008419417067,174.8008419417067,588.9300782411302,52.918432259142406,43.41725620981911
IN.72,Liquefied Refinery Gases,Manufacturing,1763.7021662095399,25.195745231564857,251.95745231564857,2306.24669284196,27.954505367781334,279.5450536778133,542.54452663242,27.587601362164747,10.94926608280779
IN.73,Refinery Feedstocks,Manufacturing,10.06734142725,0.14381916324642857,1.4381916324642856,0.2136082998971,0.0025891915139042423,0.025891915139042425,-9.8537331273529,-1.4122997173252432,-98.13145695594436
IN.74,Additives/Blending,Manufacturing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.75,Other Hydrocarbons,Manufacturing,95.41137025251001,1.3630195750358574,13.630195750358574,205.6685470971009,2.4929520860254657,24.929520860254655,110.2571768445909,11.299325109896081,82.89313217146668
IN.76,White Spirit & SBP,Manufacturing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.77,Lubricants,Manufacturing,8.999301452757,0.12856144932510002,1.2856144932510003,13.551135377643002,0.16425618639567274,1.6425618639567274,4.551833924886001,0.35694737070572713,27.74314859486755
IN.78,Bitumen,Manufacturing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
