Sector_Code,Sector_Name,Category,Water_2015_m3_per_million_EUR,Water_2015_m3_per_million_INR,Water_2015_m3_per_INR_crore,Water_2022_m3_per_million_EUR,Water_2022_m3_per_million_INR,Water_2022_m3_per_INR_crore,Absolute_Change_EUR,Absolute_Change_INR_crore,Percent_Change
IN.118,Inland water transport,Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.119,Air transport,Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.120,Transport support; travel agencies,Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.121,Post and telecom,Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.122,Financial services,Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.123,Insurance/pension,Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.124,Financial auxiliaries,Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.125,Real estate,Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.126,Machinery rental,Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.127,Computer services,Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.128,R&D services,Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.129,Business services,Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.130,Public administration,Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.131,Education,Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.132,Health and social work,Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.133,Sewage/refuse disposal,Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.134,Membership organizations,Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.135,Recreational/cultural services,Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.136,Other services,Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.137,Private households,Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.138,Other sector 138,Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.139,Other sector 139,Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.140,Other sector 140,Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.141,Other sector 141,Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.142,Other sector 142,Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.143,Other sector 143,Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.144,Other sector 144,Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.145,Other sector 145,Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.146,Other sector 146,Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.147,Other sector 147,Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.148,Other sector 148,Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.149,Other sector 149,Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.150,Other sector 150,Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.151,Other sector 151,Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.152,Other sector 152,Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.153,Other sector 153,Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.154,Other sector 154,Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.155,Other sector 155,Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.156,Other sector 156,Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.157,Other sector 157,Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.158,Other sector 158,Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.159,Other sector 159,Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.160,Other sector 160,Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.162,Other sector 162,Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
