Sector_Code,Sector_Name,Category,Water_2019_m3_per_million_EUR,Water_2019_m3_per_million_INR,Water_2019_m3_per_INR_crore,Has_Water_Use_2019
IN.73,Refinery Feedstocks,Manufacturing,9.05322706193,0.11488866829860407,1.1488866829860407,True
IN.74,Additives/Blending,Manufacturing,0.0,0.0,0.0,False
IN.75,Other Hydrocarbons,Manufacturing,123.79911628424999,1.5710547751808375,15.710547751808374,True
IN.76,White Spirit & SBP,Manufacturing,0.0,0.0,0.0,False
IN.77,Lubricants,Manufacturing,10.470872010614,0.13287908642911167,1.3287908642911166,True
IN.78,Bitumen,Manufacturing,0.0,0.0,0.0,False
IN.79,Paraffin Waxes,Manufacturing,24.86615111331,0.31556029331611674,3.1556029331611675,True
IN.80,Petroleum Coke,Manufacturing,0.0,0.0,0.0,False
IN.81,Non-specified Petroleum,Manufacturing,11.296199348242999,0.14335278360714465,1.4335278360714465,True
IN.82,Industrial Biofuels,Manufacturing,0.0,0.0,0.0,False
IN.83,Municipal wastes (renew),Manufacturing,38.390170183643,0.4871849008076523,4.8718490080765235,True
IN.84,Primary solid biofuels,Manufacturing,970.9734079394,12.321997562682741,123.2199756268274,True
IN.85,Other liquid biofuels,Manufacturing,537.94938213706,6.826768808845939,68.2676880884594,True
IN.86,Municipal Wastes (non-renew),Manufacturing,10.77299167192,0.13671309228324874,1.3671309228324873,True
IN.87,Primary solid biofuels,Manufacturing,76.59011575247999,0.9719557836609136,9.719557836609136,True
IN.88,Other liquid biofuels,Manufacturing,9.3323502963735,0.11843084132453681,1.184308413245368,True
IN.89,N-fertiliser,Manufacturing,4.614408520876999,0.05855848376747461,0.5855848376747461,True
IN.90,P-fertiliser,Manufacturing,0.422311,0.005359276649746193,0.05359276649746193,True
IN.91,Chemicals nec,Manufacturing,0.578437,0.007340571065989848,0.07340571065989848,True
IN.92,Electricity - coal,Electricity & Utilities,179.8998380350712,2.282992868465371,22.82992868465371,True
IN.93,Electricity - gas,Electricity & Utilities,0.0,0.0,0.0,False
IN.94,Electricity - nuclear,Electricity & Utilities,0.0,0.0,0.0,False
IN.95,Electricity - hydro,Electricity & Utilities,2010.8429999999998,25.518312182741116,255.18312182741116,True
IN.96,Electricity - wind,Electricity & Utilities,32.4986,0.41241878172588836,4.124187817258884,True
IN.97,Electricity - petroleum,Electricity & Utilities,94.3777,1.1976865482233503,11.976865482233503,True
IN.98,Electricity - biomass/waste,Electricity & Utilities,0.0,0.0,0.0,False
IN.99,Electricity - solar PV,Electricity & Utilities,0.0,0.0,0.0,False
IN.100,Electricity - solar thermal,Electricity & Utilities,0.132227,0.0016780076142131981,0.01678007614213198,True
IN.101,Electricity - tide/wave/ocean,Electricity & Utilities,2.45742,0.031185532994923857,0.3118553299492386,True
IN.102,Electricity - geothermal,Electricity & Utilities,0.0,0.0,0.0,False
IN.103,Electricity - nec,Electricity & Utilities,0.0,0.0,0.0,False
IN.104,Electricity transmission,Electricity & Utilities,0.0,0.0,0.0,False
IN.105,Electricity distribution,Electricity & Utilities,0.0,0.0,0.0,False
IN.106,Gas distribution,Electricity & Utilities,0.0,0.0,0.0,False
IN.107,Steam/hot water supply,Electricity & Utilities,0.0,0.0,0.0,False
IN.108,Water supply,Electricity & Utilities,0.0,0.0,0.0,False
IN.109,Construction,Electricity & Utilities,0.0,0.0,0.0,False
IN.110,Motor vehicle sales/repair,Electricity & Utilities,0.0,0.0,0.0,False
IN.111,Wholesale trade,Electricity & Utilities,0.0,0.0,0.0,False
IN.112,Retail trade,Electricity & Utilities,0.0,0.0,0.0,False
IN.113,Hotels and restaurants,Electricity & Utilities,0.0,0.0,0.0,False
IN.114,Railway transport,Electricity & Utilities,0.0,0.0,0.0,False
IN.115,Road transport,Electricity & Utilities,0.0,0.0,0.0,False
IN.116,Pipeline transport,Services,0.0,0.0,0.0,False
IN.117,Sea/coastal transport,Services,0.0,0.0,0.0,False
IN.118,Inland water transport,Services,0.0,0.0,0.0,False
IN.119,Air transport,Services,0.0,0.0,0.0,False
IN.120,Transport support; travel agencies,Services,0.0,0.0,0.0,False
IN.121,Post and telecom,Services,0.0,0.0,0.0,False
IN.122,Financial services,Services,0.0,0.0,0.0,False
IN.123,Insurance/pension,Services,0.0,0.0,0.0,False
IN.124,Financial auxiliaries,Services,0.0,0.0,0.0,False
IN.125,Real estate,Services,0.0,0.0,0.0,False
IN.126,Machinery rental,Services,0.0,0.0,0.0,False
IN.127,Computer services,Services,0.0,0.0,0.0,False
IN.128,R&D services,Services,0.0,0.0,0.0,False
IN.129,Business services,Services,0.0,0.0,0.0,False
IN.130,Public administration,Services,0.0,0.0,0.0,False
IN.131,Education,Services,0.0,0.0,0.0,False
IN.132,Health and social work,Services,0.0,0.0,0.0,False
