Sector_Index,Sector_Code,Sector_Name,Broad_Category,Sector_Subgroup,Depletion_2019_t_per_EUR_million,Depletion_2019_t_per_crore,Depletion_2019_t_per_EUR_million_sec,Depletion_2019_t_per_crore_sec,Extrapolated
73,IN.73,Refinery Feedstocks,Manufacturing,,0.0,0.0,0.0,0.0,False
74,IN.74,Additives,Manufacturing,,0.0,0.0,0.0,0.0,False
75,IN.75,Other Hydrocarbons,Manufacturing,,0.0,0.0,0.0,0.0,False
76,IN.76,White Spirit,Manufacturing,,0.0,0.0,0.0,0.0,False
77,IN.77,Lubricants,Manufacturing,,0.0,0.0,0.0,0.0,False
78,IN.78,Bitumen,Manufacturing,,0.0,0.0,0.0,0.0,False
79,IN.79,Paraffin Waxes,Manufacturing,,0.0,0.0,0.0,0.0,False
80,IN.80,Petroleum Coke,Manufacturing,,0.0,0.0,0.0,0.0,False
81,IN.81,Non-spec Petroleum,Manufacturing,,0.0,0.0,0.0,0.0,False
82,IN.82,Industrial Biofuels,Electricity,Bioenergy Processing,0.0,0.0,0.0,0.0,False
83,IN.83,Municipal wastes (renew),Electricity,Bioenergy Processing,0.0,0.0,0.0,0.0,False
84,IN.84,Solid biofuels,Electricity,Bioenergy Processing,0.0,0.0,0.0,0.0,False
85,IN.85,Other liquid biofuels,Electricity,Bioenergy Processing,0.0,0.0,0.0,0.0,False
86,IN.86,Municipal Wastes (non-renew),Electricity,Fossil Fuel Processing,0.0,0.0,0.0,0.0,False
87,IN.87,Solid biofuels (2),Electricity,Fossil Fuel Processing,0.0,0.0,0.0,0.0,False
88,IN.88,Other liquid biofuels (2),Electricity,Fossil Fuel Processing,0.0,0.0,0.0,0.0,False
89,IN.89,N-fertiliser,Electricity,,0.0,0.0,0.0,0.0,False
90,IN.90,P-fertiliser,Electricity,,0.0,0.0,0.0,0.0,False
91,IN.91,Chemicals nec,Electricity,,0.0,0.0,0.0,0.0,False
92,IN.92,Electricity coal,Electricity,Nuclear Generation,0.0,0.0,0.0,0.0,False
93,IN.93,Electricity gas,Electricity,Renewable Generation,0.0,0.0,0.0,0.0,False
94,IN.94,Electricity nuclear,Electricity,Renewable Generation,0.0,0.0,0.0,0.0,False
95,IN.95,Electricity hydro,Electricity,Renewable Generation,0.0,0.0,0.0,0.0,False
96,IN.96,Electricity wind,Electricity,Renewable Generation,0.0,0.0,0.0,0.0,False
97,IN.97,Electricity petroleum,Electricity,Renewable Generation,0.0,0.0,0.0,0.0,False
98,IN.98,Electricity biomass,Electricity,Renewable Generation,0.0,0.0,0.0,0.0,False
99,IN.99,Electricity solar PV,Electricity,Fossil Fuel Processing,0.0,0.0,0.0,0.0,False
100,IN.100,Electricity solar thermal,Electricity,Fossil Fuel Processing,0.0,0.0,0.0,0.0,False
101,IN.101,Electricity tide,Electricity,Fossil Fuel Processing,0.0,0.0,0.0,0.0,False
102,IN.102,Electricity geothermal,Electricity,Fossil Fuel Processing,0.0,0.0,0.0,0.0,False
103,IN.103,Electricity nec,Electricity,Thermal Generation,0.0,0.0,0.0,0.0,False
104,IN.104,Electricity transmission,Electricity,Thermal Generation,0.0,0.0,0.0,0.0,False
105,IN.105,Electricity distribution,Electricity,Energy Distribution,0.0,0.0,0.0,0.0,False
106,IN.106,Gas distribution,Electricity,Energy Distribution,0.0,0.0,0.0,0.0,False
107,IN.107,Steam/hot water,Electricity,Energy Distribution,0.0,0.0,0.0,0.0,False
108,IN.108,Water supply,Electricity,Water Supply,0.0,0.0,0.0,0.0,False
109,IN.109,Construction,Services,Construction,0.0,0.0,0.0,0.0,False
110,IN.110,Motor vehicles,Services,,0.0,0.0,0.0,0.0,False
111,IN.111,Wholesale trade,Services,,0.0,0.0,0.0,0.0,False
112,IN.112,Retail trade,Services,,0.0,0.0,0.0,0.0,False
113,IN.113,Hotels and restaurants,Services,,0.0,0.0,0.0,0.0,False
114,IN.114,Railway transport,Services,,0.0,0.0,0.0,0.0,False
115,IN.115,Road transport,Services,,0.0,0.0,0.0,0.0,False
116,IN.116,Pipeline transport,Services,,0.0,0.0,0.0,0.0,False
117,IN.117,Sea/coastal transport,Services,,0.0,0.0,0.0,0.0,False
118,IN.118,Inland water transport,Services,,0.0,0.0,0.0,0.0,False
119,IN.119,Air transport,Services,,0.0,0.0,0.0,0.0,False
120,IN.120,Transport support/travel agencies,Services,,0.0,0.0,0.0,0.0,False
121,IN.121,Post and telecom,Services,,0.0,0.0,0.0,0.0,False
122,IN.122,Financial services,Services,,0.0,0.0,0.0,0.0,False
123,IN.123,Insurance,Services,,0.0,0.0,0.0,0.0,False
124,IN.124,Financial auxiliaries,Services,,0.0,0.0,0.0,0.0,False
125,IN.125,Real estate,Services,,0.0,0.0,0.0,0.0,False
126,IN.126,Machinery rental,Services,,0.0,0.0,0.0,0.0,False
127,IN.127,Computer services,Services,,0.0,0.0,0.0,0.0,False
128,IN.128,R&D services,Services,,0.0,0.0,0.0,0.0,False
129,IN.129,Business services,Services,,0.0,0.0,0.0,0.0,False
130,IN.130,Public administration,Services,,0.0,0.0,0.0,0.0,False
131,IN.131,Education,Services,,0.0,0.0,0.0,0.0,False
132,IN.132,Health and social work,Services,,0.0,0.0,0.0,0.0,False
133,IN.133,Sewage/refuse,Services,,0.0,0.0,0.0,0.0,False
134,IN.134,Membership organizations,Services,,0.0,0.0,0.0,0.0,False
135,IN.135,Recreational/cultural,Services,,0.0,0.0,0.0,0.0,False
136,IN.136,Other services,Services,,0.0,0.0,0.0,0.0,False
137,IN.137,Private households,Services,,0.0,0.0,0.0,0.0,False
138,IN.138,Sector 138,Other,,0.0,0.0,0.0,0.0,False
139,IN.139,Sector 139,Other,,0.0,0.0,0.0,0.0,False
140,IN.140,Sector 140,Other,,0.0,0.0,0.0,0.0,False
141,IN.141,Sector 141,Other,,0.0,0.0,0.0,0.0,False
