Sector_Code,Sector_Index,Sector_Name,Energy_2019_Final_MJ_per_crore,Energy_2019_Emission_MJ_per_crore,Energy_2019_Gross_MJ_per_crore,Energy_2019_Net_MJ_per_crore,Rank,Pct_of_Total,Cumulative_Pct
IN.63,63,IN.63,3288144365341.772,2240051645240.5063,3302199360341.772,2250526000037.9746,1,12.49,12.49
IN.56,56,IN.56,3140098500126.582,2025531022886.076,18019207441518.984,3102657957316.4556,2,11.93,24.42
IN.72,72,IN.72,3004374304088.6074,4351040917696.202,5438213465835.442,4367530120025.3164,3,11.41,35.83
IN.92,92,IN.92,2684030803544.3037,2553600046050.633,2705568966886.0757,2554508604063.291,4,10.2,46.03
IN.120,120,IN.120,1346061944734.1772,1351287568417.7214,1360822169594.9368,1351287568417.7214,5,5.11,51.14
IN.21,21,IN.21,1185794925316.4558,392954890182.2785,1494758958848.1013,1395785482759.4937,6,4.5,55.64
IN,0,IN,1099820330073.4177,641856005506.3291,1198496553100.0,641856005506.3291,7,4.18,59.82
IN.119,119,IN.119,933382767246.8353,853735877488.6075,944689668225.3164,853735877488.6075,8,3.55,63.37
IN.68,68,IN.68,750448865756.962,1008630041250.6329,1156990010401.2659,1009131806305.0632,9,2.85,66.22
IN.112,112,IN.112,574968043624.0505,426804286769.62024,580912942701.2657,568510379472.1519,10,2.18,68.4
IN.124,124,IN.124,559305199056.962,564491830505.0634,564828740605.0634,564491830505.0634,11,2.12,70.52
IN.95,95,IN.95,495209088806.3291,12597797766999.998,13195693759746.834,12597797766999.998,12,1.88,72.4
IN.71,71,IN.71,426535827205.06323,371696519396.2025,1720467081037.9749,392194032173.4177,13,1.62,74.02
IN.1,1,IN.1,332028444684.8101,106659417278.35443,353015282160.7595,106659417278.35443,14,1.26,75.28
IN.40,40,IN.40,329458208217.7215,100867511532.40506,357690291382.2785,103781530686.83543,15,1.25,76.53
IN.70,70,IN.70,314578375955.69617,313678989894.9367,326456006622.7848,314100998960.7595,16,1.2,77.73
IN.20,20,IN.20,294368593502.5316,194752928512.65823,297448799934.1772,195721065358.22784,17,1.12,78.85
IN.135,135,IN.135,265650677818.98734,296108521048.10126,296929413149.36707,296108521048.10126,18,1.01,79.86
IN.42,42,IN.42,259668505930.37976,337727576279.7468,372598116669.62024,337807520041.77216,19,0.99,80.85
IN.83,83,IN.83,234811716926.58228,201109917381.01266,241856327568.3544,215788857220.25314,20,0.89,81.74
IN.122,122,IN.122,217980449912.6582,218445229691.13925,218570871601.2658,218445229691.13925,21,0.83,82.57
IN.116,116,IN.116,213364746667.0886,186274839240.50632,222510831959.49365,186274839240.50632,22,0.81,83.38
IN.62,62,IN.62,211734442897.46832,109658733907.8481,221121161179.74683,201142914891.13922,23,0.8,84.18
IN.118,118,IN.118,208861604618.98734,184166240726.58228,237230361945.5696,184166240726.58228,24,0.79,84.97
IN.61,61,IN.61,205935271891.13922,154858624289.8734,234458144988.60757,164399403224.05063,25,0.78,85.75
IN.136,136,IN.136,192838942411.3924,90114426524.43037,196633031989.8734,90114426524.43037,26,0.73,86.48
IN.58,58,IN.58,190561866848.10126,94327812066.70886,192067408943.03796,187694801608.86075,27,0.72,87.2
IN.127,127,IN.127,143744331746.83542,82295168479.87341,145046646105.0633,82295168479.87341,28,0.55,87.75
IN.134,134,IN.134,135672681927.84808,109046311372.1519,141517977869.62024,109046311372.1519,29,0.52,88.27
IN.60,60,IN.60,130151092656.96202,68524989361.3924,132996052079.74684,129579917539.24051,30,0.49,88.76
IN.53,53,IN.53,127778714546.83543,52828231529.11392,145011038351.89874,86968223490.0,31,0.49,89.25
IN.90,90,IN.90,126087997027.34178,20034599285.6962,128565598815.18987,68360870778.987335,32,0.48,89.73
IN.125,125,IN.125,106713742868.98735,77910483642.7848,107877433228.60757,77910483642.7848,33,0.41,90.14
IN.131,131,IN.131,103327241949.1139,82557183989.36708,104131252403.92404,82557183989.36708,34,0.39,90.53
IN.4,4,IN.4,99774470718.22784,96950734074.43037,109245137516.45569,96950734074.43037,35,0.38,90.91
IN.46,46,IN.46,96826526929.74683,98867642005.94936,144808227108.86075,100485044848.60759,36,0.37,91.28
IN.126,126,IN.126,96491775038.73418,55798762278.98734,97854152222.0253,55798762278.98734,37,0.37,91.65
IN.108,108,IN.108,96463540944.81012,30066730339.240505,96494840068.10126,30066730339.240505,38,0.37,92.02
IN.130,130,IN.130,95197905679.2405,42507347951.3924,105414623130.37973,42507347951.3924,39,0.36,92.38
IN.117,117,IN.117,94802172993.5443,63068668480.88608,98747585609.74683,63068668480.88608,40,0.36,92.74
IN.43,43,IN.43,88791636994.81012,70979707287.97469,113588810275.31645,71234049332.65823,41,0.34,93.08
IN.66,66,IN.66,85773973539.49367,83638579864.30379,91021970909.87341,84202775771.13924,42,0.33,93.41
IN.3,3,IN.3,85014646006.45569,34955488012.27848,113537366358.98734,34955488012.27848,43,0.32,93.73
IN.55,55,IN.55,73243232397.97469,144790146856.962,2711206700481.0127,145059757006.3291,44,0.28,94.01
IN.132,132,IN.132,72552039388.73418,51550015861.01266,80252860998.10126,51550015861.01266,45,0.28,94.29
IN.6,6,IN.6,70954420673.79745,15043114166.835442,74453192547.2152,15043114166.835442,46,0.27,94.56
IN.85,85,IN.85,69476736825.94937,37669542556.20253,74554168307.97469,54531022979.2405,47,0.26,94.82
IN.158,158,IN.158,68450754608.60759,52152973729.74683,74910259021.77216,52152973729.74683,48,0.26,95.08
IN.137,137,IN.137,67969206702.27848,45117728071.01266,70703010331.64557,45117728071.01266,49,0.26,95.34
IN.107,107,IN.107,65257152571.51899,37011492730.75949,65264665814.303795,37011492730.75949,50,0.25,95.59
IN.2,2,IN.2,64523043937.72151,45657462107.08861,73839940954.68353,45657462107.08861,51,0.25,95.84
IN.17,17,IN.17,61471894131.3924,54036590517.72152,82880923006.3291,54036590517.72152,52,0.23,96.07
IN.111,111,IN.111,58643044341.13924,21477337783.41772,66868594164.05063,42610341947.46835,53,0.22,96.29
IN.39,39,IN.39,54857699547.8481,71966164908.10126,77488008717.08861,73188184422.1519,54,0.21,96.5
IN.91,91,IN.91,53786130266.455696,11571501156.177216,54488558332.53164,39783523587.72152,55,0.2,96.7
IN.44,44,IN.44,52933150716.582275,27857366874.177216,62428359984.17721,29184891056.329113,56,0.2,96.9
IN.160,160,IN.160,52487776285.44304,39602059711.01266,54824356323.29114,39602059711.01266,57,0.2,97.1
IN.89,89,IN.89,45717395115.94936,28359895813.670883,46327802368.35443,28373257699.873417,58,0.17,97.27
IN.97,97,IN.97,45710250658.860756,38513815.61848101,849071043208.8608,641775222675.9493,59,0.17,97.44
IN.159,159,IN.159,44627996318.22785,29085453719.113926,46531452055.56962,29085453719.113926,60,0.17,97.61
IN.64,64,IN.64,39394323929.87342,39306107899.74683,42376526152.40507,39782109321.01266,61,0.15,97.76
IN.96,96,IN.96,35860712938.48101,506214006578.48096,644858509258.2278,506243123726.5823,62,0.14,97.9
IN.19,19,IN.19,35713331739.11392,162293971824.05063,480938112681.01263,170977232139.2405,63,0.14,98.04
IN.38,38,IN.38,30672049070.253162,40213845906.83544,44661753352.27847,40214706919.11392,64,0.12,98.16
IN.84,84,IN.84,30360965328.227848,22265159941.392403,31617889301.898735,23737219569.240505,65,0.12,98.28
IN.121,121,IN.121,29215203498.481014,30895213324.303795,31822920503.670887,30895213324.303795,66,0.11,98.39
IN.54,54,IN.54,29067605297.088608,5377281871.696202,33522501567.215187,15335498979.999998,67,0.11,98.5
