Sector_Index,Sector_Code,Sector_Name,Broad_Category,Water_2019_Blue_m3_per_EUR_million,Water_2019_Blue_m3_per_crore,Water_2019_Green_m3_per_EUR_million,Water_2019_Green_m3_per_crore,Extrapolated
71,IN.71,Refinery Gas,Manufacturing,1230.56319893804,1557.6749353646076,0.0,0.0,False
72,IN.72,Liquefied Refinery Gas,Manufacturing,2281.07476719279,2887.436414168089,0.0,0.0,False
73,IN.73,Refinery Feedstocks,Manufacturing,9.05322706193,11.459781091050635,0.0,0.0,False
74,IN.74,Additives,Manufacturing,0.0,0.0,0.0,0.0,False
75,IN.75,Other Hydrocarbons,Manufacturing,123.79911628424999,156.70774213196202,0.0,0.0,False
76,IN.76,White Spirit,Manufacturing,0.0,0.0,0.0,0.0,False
77,IN.77,Lubricants,Manufacturing,10.470872010614,13.254268367865825,0.0,0.0,False
78,IN.78,Bitumen,Manufacturing,0.0,0.0,0.0,0.0,False
79,IN.79,Paraffin Waxes,Manufacturing,24.86615111331,31.476140649759497,0.0,0.0,False
80,IN.80,Petroleum Coke,Manufacturing,0.0,0.0,0.0,0.0,False
81,IN.81,Non-spec Petroleum,Manufacturing,11.296199348242999,14.298986516763291,0.0,0.0,False
82,IN.82,Industrial Biofuels,Energy Processing,0.0,0.0,0.0,0.0,False
83,IN.83,Municipal wastes (renew),Energy Processing,38.390170183643,48.59515213119367,0.0,0.0,False
84,IN.84,Solid biofuels,Energy Processing,970.9734079394,1229.0802632144305,0.0,0.0,False
85,IN.85,Other liquid biofuels,Energy Processing,537.94938213706,680.9485849836202,0.0,0.0,False
86,IN.86,Municipal Wastes (non-renew),Energy Processing,10.77299167192,13.636698318886078,0.0,0.0,False
87,IN.87,Solid biofuels (2),Energy Processing,76.59011575247999,96.94951361073417,0.0,0.0,False
88,IN.88,Other liquid biofuels (2),Energy Processing,9.3323502963735,11.813101640979115,0.0,0.0,False
89,IN.89,N-fertiliser,Energy Processing,4.614408520876999,5.841023444148101,0.0,0.0,False
90,IN.90,P-fertiliser,Energy Processing,0.422311,0.5345708860759494,0.0,0.0,False
91,IN.91,Chemicals nec,Energy Processing,0.578437,0.7321987341772153,0.0,0.0,False
92,IN.92,Electricity coal,Utilities/Energy,179.8998380350712,227.72131396844458,0.0,0.0,False
93,IN.93,Electricity gas,Utilities/Energy,0.0,0.0,0.0,0.0,False
94,IN.94,Electricity nuclear,Utilities/Energy,0.0,0.0,0.0,0.0,False
95,IN.95,Electricity hydro,Utilities/Energy,2010.8429999999998,2545.3708860759493,0.0,0.0,False
96,IN.96,Electricity wind,Utilities/Energy,32.4986,41.13746835443039,0.0,0.0,False
97,IN.97,Electricity petroleum,Utilities/Energy,94.3777,119.4654430379747,0.0,0.0,False
98,IN.98,Electricity biomass,Utilities/Energy,0.0,0.0,0.0,0.0,False
99,IN.99,Electricity solar PV,Utilities/Energy,0.0,0.0,0.0,0.0,False
100,IN.100,Electricity solar thermal,Utilities/Energy,0.132227,0.16737594936708863,0.0,0.0,False
101,IN.101,Electricity tide,Utilities/Energy,2.45742,3.110658227848101,0.0,0.0,False
102,IN.102,Electricity geothermal,Utilities/Energy,0.0,0.0,0.0,0.0,False
103,IN.103,Electricity nec,Utilities/Energy,0.0,0.0,0.0,0.0,False
104,IN.104,Electricity transmission,Utilities/Energy,0.0,0.0,0.0,0.0,False
105,IN.105,Electricity distribution,Utilities/Energy,0.0,0.0,0.0,0.0,False
106,IN.106,Gas distribution,Utilities/Energy,0.0,0.0,0.0,0.0,False
107,IN.107,Steam/hot water,Utilities/Energy,0.0,0.0,0.0,0.0,False
108,IN.108,Water supply,Utilities/Energy,0.0,0.0,0.0,0.0,False
109,IN.109,Construction,Services,0.0,0.0,0.0,0.0,False
110,IN.110,Motor vehicles,Services,0.0,0.0,0.0,0.0,False
111,IN.111,Wholesale trade,Services,0.0,0.0,0.0,0.0,False
112,IN.112,Retail trade,Services,0.0,0.0,0.0,0.0,False
113,IN.113,Hotels and restaurants,Services,0.0,0.0,0.0,0.0,False
114,IN.114,Railway transport,Services,0.0,0.0,0.0,0.0,False
115,IN.115,Road transport,Services,0.0,0.0,0.0,0.0,False
116,IN.116,Pipeline transport,Services,0.0,0.0,0.0,0.0,False
117,IN.117,Sea/coastal transport,Services,0.0,0.0,0.0,0.0,False
118,IN.118,Inland water transport,Services,0.0,0.0,0.0,0.0,False
119,IN.119,Air transport,Services,0.0,0.0,0.0,0.0,False
120,IN.120,Transport support/travel agencies,Services,0.0,0.0,0.0,0.0,False
121,IN.121,Post and telecom,Services,0.0,0.0,0.0,0.0,False
