Sector_Code,Sector_Index,Sector_Name,Broad_Category,Water_2019_Blue_m3_per_crore,Water_2019_Green_m3_per_crore,Rank,Pct_of_Total,Cumulative_Pct
IN,0,IN,Agriculture,180219.7883916962,555231.8711112658,1,29.99,29.99
IN.1,1,IN.1,Agriculture,137923.10382278482,98542.07305063291,2,22.95,52.94
IN.5,5,IN.5,Agriculture,85956.16048748103,81236.83421886075,3,14.31,67.25
IN.7,7,IN.7,Agriculture,65188.76621518987,603957.5389873418,4,10.85,78.1
IN.3,3,IN.3,Agriculture,48268.427848101266,193995.6101265823,5,8.03,86.13
IN.4,4,IN.4,Agriculture,42146.58227848102,213758.2278481013,6,7.01,93.14
IN.2,2,IN.2,Agriculture,14673.293831822786,349892.70515253156,7,2.44,95.58
IN.8,8,IN.8,Agriculture,3450.101265822785,0.0,8,0.57,96.15
IN.11,11,IN.11,Agriculture,3331.0545822784807,0.0,9,0.55,96.7
IN.72,72,IN.72,Other,2887.436414168089,0.0,10,0.48,97.18
IN.95,95,IN.95,Other,2545.3708860759493,0.0,11,0.42,97.6
IN.61,61,IN.61,Other,1993.1983489584559,0.0,12,0.33,97.93
IN.51,51,IN.51,Other,1822.6095024829233,0.0,13,0.3,98.23
IN.71,71,IN.71,Other,1557.6749353646076,0.0,14,0.26,98.49
IN.60,60,IN.60,Other,1348.2956928614315,0.0,15,0.22,98.71
IN.84,84,IN.84,Other,1229.0802632144305,0.0,16,0.2,98.91
IN.58,58,IN.58,Other,1053.0733678481013,0.0,17,0.18,99.09
IN.85,85,IN.85,Other,680.9485849836202,0.0,18,0.11,99.2
IN.53,53,IN.53,Other,640.745395443689,0.0,19,0.11,99.31
IN.44,44,IN.44,Other,503.95675065066644,0.0,20,0.08,99.39
IN.46,46,IN.46,Other,345.85918360106297,0.0,21,0.06,99.45
IN.54,54,IN.54,Other,329.231806837595,0.0,22,0.05,99.5
IN.6,6,IN.6,Agriculture,247.14177215189875,7458.611392405063,23,0.04,99.54
IN.47,47,IN.47,Other,246.96443324227855,0.0,24,0.04,99.58
IN.62,62,IN.62,Other,246.69007407824557,0.0,25,0.04,99.62
IN.92,92,IN.92,Other,227.72131396844458,0.0,26,0.04,99.66
IN.63,63,IN.63,Other,221.05050712929113,0.0,27,0.04,99.7
IN.42,42,IN.42,Other,181.8700749460727,0.0,28,0.03,99.73
IN.68,68,IN.68,Other,160.92527776226584,0.0,29,0.03,99.76
IN.75,75,IN.75,Other,156.70774213196202,0.0,30,0.03,99.79
IN.67,67,IN.67,Other,135.5773577955449,0.0,31,0.02,99.81
IN.97,97,IN.97,Other,119.4654430379747,0.0,32,0.02,99.83
IN.9,9,IN.9,Agriculture,109.36518987341773,0.0,33,0.02,99.85
IN.87,87,IN.87,Other,96.94951361073417,0.0,34,0.02,99.87
IN.49,49,IN.49,Other,85.94785276538356,0.0,35,0.01,99.88
IN.10,10,IN.10,Agriculture,79.15357974683545,0.0,36,0.01,99.89
IN.83,83,IN.83,Other,48.59515213119367,0.0,37,0.01,99.9
IN.96,96,IN.96,Other,41.13746835443039,0.0,38,0.01,99.91
IN.56,56,IN.56,Other,39.98816252025317,0.0,39,0.01,99.92
IN.64,64,IN.64,Other,37.15106246382279,0.0,40,0.01,99.93
IN.48,48,IN.48,Other,36.50930418804127,0.0,41,0.01,99.94
IN.38,38,IN.38,Other,32.107964070478104,0.0,42,0.01,99.95
IN.79,79,IN.79,Other,31.476140649759497,0.0,43,0.01,99.96
IN.39,39,IN.39,Other,29.065562473596586,0.0,44,0.0,99.96
